선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1436,메인기록,2016,삼성,2,2,2,1,0,1,0,0,1,0,1.000,0.500,0.500,0.500,1.000,0.460,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2024,삼성,13,38,33,11,4,8,9,3,9,1,0.333,0.333,0.395,0.788,1.183,0.483,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2023,삼성,12,18,15,3,0,3,1,2,6,1,0.333,0.200,0.333,0.267,0.600,0.296,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2020,삼성,12,29,22,4,1,4,3,5,6,0,0.200,0.182,0.357,0.318,0.675,0.325,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2022,삼성,1,2,2,0,0,1,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1436,기본기록,2016,삼성,2,2,2,1,0,1,0,0,1,0,,0.500,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,기본기록,2024,삼성,13,38,33,11,4,8,9,3,9,1,,0.333,,,,,,5,1,1,0,1,1,1,0,0,,,,,,,,,,,
1436,기본기록,2023,삼성,12,18,15,3,0,3,1,2,6,1,,0.200,,,,,,2,1,0,0,1,0,0,1,0,,,,,,,,,,,
1436,기본기록,2020,삼성,12,29,22,4,1,4,3,5,6,0,,0.182,,,,,,3,0,0,0,1,0,1,2,0,,,,,,,,,,,
1436,기본기록,2022,삼성,1,2,2,0,0,1,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
1436,세부기록,2016,삼성,,2,,,,,,,,,1.000,0.500,,,1.000,0.460,-,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.50,13.50,0.46,6.81,0.00,0.20
1436,세부기록,2024,삼성,,38,,,,,,,,,0.333,0.333,,,1.183,0.483,-,,,,,,,,,,7.9,23.7,0.33,0.455,8.25,11.08,13.01,9.57,10.27,0.19,4.69
1436,세부기록,2023,삼성,,18,,,,,,,,,0.333,0.200,,,0.600,0.296,-,,,,,,,,,,11.1,33.3,0.33,0.067,-,1.47,3.06,1.48,2.68,0.18,-0.83
1436,세부기록,2020,삼성,,29,,,,,,,,,0.200,0.182,,,0.675,0.325,-,,,,,,,,,,17.2,20.7,0.83,0.136,22.00,2.50,3.22,3.16,-1.38,0.03,-0.57
1436,세부기록,2022,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.00,0.00,-0.37,-,0.00,-0.63
