선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1436,메인기록,2024,삼성,11,44,35,12,2,10,7,5,14,1,0.500,0.343,0.455,0.629,1.084,0.465,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2023,삼성,15,6,5,1,0,4,1,0,2,0,0.250,0.200,0.167,0.400,0.567,0.211,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2020,삼성,21,43,42,6,2,5,4,1,12,1,0.143,0.143,0.163,0.333,0.496,0.210,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2022,삼성,4,8,7,1,0,1,0,0,2,0,0.200,0.143,0.250,0.143,0.393,0.212,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2017,삼성,4,3,3,0,0,1,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1436,기본기록,2024,삼성,11,44,35,12,2,10,7,5,14,1,,0.343,,,,,,6,4,0,0,3,1,1,1,0,,,,,,,,,,,
1436,기본기록,2023,삼성,15,6,5,1,0,4,1,0,2,0,,0.200,,,,,,0,1,0,0,0,1,1,1,0,,,,,,,,,,,
1436,기본기록,2020,삼성,21,43,42,6,2,5,4,1,12,1,,0.143,,,,,,2,2,0,0,0,0,0,0,0,,,,,,,,,,,
1436,기본기록,2022,삼성,4,8,7,1,0,1,0,0,2,0,,0.143,,,,,,1,0,0,0,1,0,0,0,0,,,,,,,,,,,
1436,기본기록,2017,삼성,4,3,3,0,0,1,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,세부기록,2024,삼성,,44,,,,,,,,,0.500,0.343,,,1.084,0.465,-,,,,,,,,,,11.4,31.8,0.36,0.286,17.50,10.85,11.72,10.37,4.09,0.21,4.71
1436,세부기록,2023,삼성,,6,,,,,,,,,0.250,0.200,,,0.567,0.211,-,,,,,,,,,,0.0,33.3,0.00,0.200,-,0.00,0.00,0.03,-,0.00,-0.74
1436,세부기록,2020,삼성,,43,,,,,,,,,0.143,0.143,,,0.496,0.210,-,,,,,,,,,,2.3,27.9,0.08,0.190,21.00,2.41,1.80,0.15,6.75,0.17,-5.37
1436,세부기록,2022,삼성,,8,,,,,,,,,0.200,0.143,,,0.393,0.212,-,,,,,,,,,,0.0,25.0,0.00,0.000,-,0.32,1.42,0.05,-,0.01,-0.98
1436,세부기록,2017,삼성,,3,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,33.3,0.00,0.000,-,0.00,0.00,-0.56,-,0.00,-0.95
