선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1436,메인기록,2019,삼성,16,46,43,11,2,3,7,2,16,1,0.360,0.256,0.304,0.442,0.746,0.328,0.14,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2016,삼성,6,6,4,1,0,2,0,0,3,0,1.000,0.250,0.250,0.250,0.500,0.228,-0.06,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2024,삼성,122,355,302,73,22,56,57,31,109,9,0.293,0.242,0.339,0.500,0.839,0.360,1.53,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2023,삼성,109,162,145,30,1,23,18,8,42,4,0.279,0.207,0.259,0.310,0.569,0.265,-0.61,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2020,삼성,98,245,216,39,10,25,30,18,64,3,0.201,0.181,0.257,0.361,0.618,0.273,-1.22,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2017,삼성,15,20,17,2,0,4,0,1,9,0,0.250,0.118,0.211,0.118,0.329,0.174,-0.27,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2022,삼성,13,34,27,2,0,5,1,5,8,0,0.105,0.074,0.265,0.074,0.339,0.216,-0.32,,,,,,,,,,,,,,,,,,,,
1436,기본기록,2019,삼성,16,46,43,11,2,3,7,2,16,1,,0.256,,,,,,7,2,0,0,1,0,0,1,1,,,,,,,,,,,
1436,기본기록,2016,삼성,6,6,4,1,0,2,0,0,3,0,,0.250,,,,,,1,0,0,0,0,0,2,0,0,,,,,,,,,,,
1436,기본기록,2024,삼성,122,355,302,73,22,56,57,31,109,9,,0.242,,,,,,40,10,1,0,15,3,7,5,2,,,,,,,,,,,
1436,기본기록,2023,삼성,109,162,145,30,1,23,18,8,42,4,,0.207,,,,,,18,10,1,0,3,2,6,4,3,,,,,,,,,,,
1436,기본기록,2020,삼성,98,245,216,39,10,25,30,18,64,3,,0.181,,,,,,21,7,1,0,5,2,6,7,1,,,,,,,,,,,
1436,기본기록,2017,삼성,15,20,17,2,0,4,0,1,9,0,,0.118,,,,,,2,0,0,0,1,0,1,0,0,,,,,,,,,,,
1436,기본기록,2022,삼성,13,34,27,2,0,5,1,5,8,0,,0.074,,,,,,2,0,0,0,2,0,0,1,0,,,,,,,,,,,
1436,세부기록,2019,삼성,,46,,,,,,,,,0.360,0.256,,,0.746,0.328,0.14,,,,,,,,,,4.4,34.8,0.12,0.186,21.50,5.30,4.21,5.37,2.06,-0.28,-0.04
1436,세부기록,2016,삼성,,6,,,,,,,,,1.000,0.250,,,0.500,0.228,-0.06,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.34,1.84,0.10,11.81,0.01,-0.74
1436,세부기록,2024,삼성,,355,,,,,,,,,0.293,0.242,,,0.839,0.360,1.53,,,,,,,,,,8.7,30.7,0.28,0.258,13.73,54.07,6.01,53.68,5.74,0.46,5.69
1436,세부기록,2023,삼성,,162,,,,,,,,,0.279,0.207,,,0.569,0.265,-0.61,,,,,,,,,,4.9,25.9,0.19,0.103,145.00,11.22,2.37,9.49,6.15,-0.57,-9.58
1436,세부기록,2020,삼성,,245,,,,,,,,,0.201,0.181,,,0.618,0.273,-1.22,,,,,,,,,,7.4,26.1,0.28,0.180,21.60,19.61,2.77,16.40,3.66,0.09,-15.76
1436,세부기록,2017,삼성,,20,,,,,,,,,0.250,0.118,,,0.329,0.174,-0.27,,,,,,,,,,5.0,45.0,0.11,0.000,-,0.61,1.03,-0.58,11.81,0.03,-3.28
1436,세부기록,2022,삼성,,34,,,,,,,,,0.105,0.074,,,0.339,0.216,-0.32,,,,,,,,,,14.7,23.5,0.62,0.000,-,0.90,0.93,0.64,4.71,0.02,-3.32
