선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1499,메인기록,2018,삼성,9,4,4,2,0,2,1,0,1,0,0.667,0.500,0.500,0.500,1.000,0.460,-,,,,,,,,,,,,,,,,,,,,
1499,메인기록,2017,삼성,6,9,9,3,0,0,2,0,1,0,0.375,0.333,0.333,0.444,0.777,0.345,-,,,,,,,,,,,,,,,,,,,,
1499,메인기록,2023,삼성,31,54,44,13,0,9,5,9,9,0,0.371,0.295,0.415,0.341,0.756,0.362,-,,,,,,,,,,,,,,,,,,,,
1499,메인기록,2024,삼성,38,70,61,14,0,9,5,4,18,3,0.326,0.230,0.288,0.246,0.534,0.256,-,,,,,,,,,,,,,,,,,,,,
1499,메인기록,2022,삼성,8,7,5,0,0,1,0,1,3,0,0.000,0.000,0.167,0.000,0.167,0.121,-,,,,,,,,,,,,,,,,,,,,
1499,기본기록,2018,삼성,9,4,4,2,0,2,1,0,1,0,,0.500,,,,,,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
1499,기본기록,2017,삼성,6,9,9,3,0,0,2,0,1,0,,0.333,,,,,,2,1,0,0,0,0,0,0,1,,,,,,,,,,,
1499,기본기록,2023,삼성,31,54,44,13,0,9,5,9,9,0,,0.295,,,,,,11,2,0,0,0,0,1,2,0,,,,,,,,,,,
1499,기본기록,2024,삼성,38,70,61,14,0,9,5,4,18,3,,0.230,,,,,,13,1,0,0,1,0,4,2,0,,,,,,,,,,,
1499,기본기록,2022,삼성,8,7,5,0,0,1,0,1,3,0,,0.000,,,,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
1499,세부기록,2018,삼성,,4,,,,,,,,,0.667,0.500,,,1.000,0.460,-,,,,,,,,,,0.0,25.0,0.00,0.000,-,1.00,13.50,0.92,6.81,0.01,0.41
1499,세부기록,2017,삼성,,9,,,,,,,,,0.375,0.333,,,0.777,0.345,-,,,,,,,,,,0.0,11.1,0.00,0.111,-,0.89,3.43,1.14,3.62,-0.46,-0.02
1499,세부기록,2023,삼성,,54,,,,,,,,,0.371,0.295,,,0.756,0.362,-,,,,,,,,,,16.7,16.7,1.00,0.046,-,6.61,5.25,7.66,1.57,0.06,0.72
1499,세부기록,2024,삼성,,70,,,,,,,,,0.326,0.230,,,0.534,0.256,-,,,,,,,,,,5.7,25.7,0.22,0.016,-,4.84,2.47,3.20,4.45,0.55,-5.79
1499,세부기록,2022,삼성,,7,,,,,,,,,0.000,0.000,,,0.167,0.121,-,,,,,,,,,,14.3,42.9,0.33,0.000,-,0.11,0.50,-0.54,6.81,0.00,-1.44
