선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1508,메인기록,2021,삼성,20,7,6,2,0,7,2,0,1,0,0.333,0.333,0.286,0.333,0.619,0.263,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2020,삼성,5,5,3,1,0,1,0,1,0,0,0.333,0.333,0.600,0.333,0.933,0.484,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2023,삼성,86,122,105,32,0,38,26,5,9,20,0.320,0.305,0.342,0.381,0.723,0.329,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2024,삼성,27,44,35,10,0,15,6,3,8,3,0.345,0.286,0.341,0.343,0.684,0.313,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2022,삼성,39,23,19,3,1,14,2,2,7,10,0.182,0.158,0.273,0.368,0.641,0.289,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2017,삼성,14,7,7,1,1,3,2,0,3,0,0.000,0.143,0.143,0.571,0.714,0.279,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2018,삼성,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1508,기본기록,2021,삼성,20,7,6,2,0,7,2,0,1,0,,0.333,,,,,,2,0,0,0,0,1,1,0,1,,,,,,,,,,,
1508,기본기록,2020,삼성,5,5,3,1,0,1,0,1,0,0,,0.333,,,,,,1,0,0,0,1,0,0,0,0,,,,,,,,,,,
1508,기본기록,2023,삼성,86,122,105,32,0,38,26,5,9,20,,0.305,,,,,,28,0,4,0,3,4,8,2,4,,,,,,,,,,,
1508,기본기록,2024,삼성,27,44,35,10,0,15,6,3,8,3,,0.286,,,,,,8,2,0,0,1,2,5,1,1,,,,,,,,,,,
1508,기본기록,2022,삼성,39,23,19,3,1,14,2,2,7,10,,0.158,,,,,,1,1,0,0,1,0,1,0,2,,,,,,,,,,,
1508,기본기록,2017,삼성,14,7,7,1,1,3,2,0,3,0,,0.143,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2018,삼성,1,1,1,0,0,0,0,0,0,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,세부기록,2021,삼성,,7,,,,,,,,,0.333,0.333,,,0.619,0.263,-,,,,,,,,,,0.0,14.3,0.00,0.000,-,0.36,1.62,0.36,21.12,-0.46,-0.54
1508,세부기록,2020,삼성,,5,,,,,,,,,0.333,0.333,,,0.933,0.484,-,,,,,,,,,,20.0,0.0,-,0.000,-,0.91,12.31,1.27,6.81,0.01,0.62
1508,세부기록,2023,삼성,,122,,,,,,,,,0.320,0.305,,,0.723,0.329,-,,,,,,,,,,4.1,7.4,0.56,0.076,-,15.92,4.94,13.69,14.32,1.58,-1.99
1508,세부기록,2024,삼성,,44,,,,,,,,,0.345,0.286,,,0.684,0.313,-,,,,,,,,,,6.8,18.2,0.38,0.057,-,4.69,3.96,4.30,8.70,0.07,-1.35
1508,세부기록,2022,삼성,,23,,,,,,,,,0.182,0.158,,,0.641,0.289,-,,,,,,,,,,8.7,30.4,0.29,0.210,19.00,2.35,3.34,1.75,29.45,0.75,-1.20
1508,세부기록,2017,삼성,,7,,,,,,,,,0.000,0.143,,,0.714,0.279,-,,,,,,,,,,0.0,42.9,0.00,0.428,7.00,0.57,2.57,0.47,-,0.00,-0.43
1508,세부기록,2018,삼성,,1,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,0.0,-,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
