선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1508,메인기록,2021,삼성,18,6,5,2,0,7,2,0,1,0,0.400,0.400,0.333,0.400,0.733,0.306,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2023,삼성,77,67,58,17,0,33,25,2,4,6,0.293,0.293,0.308,0.397,0.705,0.311,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2024,삼성,25,26,21,6,0,15,6,2,5,1,0.333,0.286,0.320,0.333,0.653,0.292,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2017,삼성,9,4,4,1,1,3,2,0,2,0,0.000,0.250,0.250,1.000,1.250,0.489,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2022,삼성,32,10,8,1,0,12,0,1,3,0,0.200,0.125,0.222,0.125,0.347,0.183,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2020,삼성,4,2,1,0,0,1,0,1,0,0,0.000,0.000,0.500,0.000,0.500,0.362,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2018,삼성,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1508,기본기록,2021,삼성,18,6,5,2,0,7,2,0,1,0,,0.400,,,,,,2,0,0,0,0,1,1,0,1,,,,,,,,,,,
1508,기본기록,2023,삼성,77,67,58,17,0,33,25,2,4,6,,0.293,,,,,,14,0,3,0,1,4,5,2,0,,,,,,,,,,,
1508,기본기록,2024,삼성,25,26,21,6,0,15,6,2,5,1,,0.286,,,,,,5,1,0,0,0,2,3,0,0,,,,,,,,,,,
1508,기본기록,2017,삼성,9,4,4,1,1,3,2,0,2,0,,0.250,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2022,삼성,32,10,8,1,0,12,0,1,3,0,,0.125,,,,,,1,0,0,0,0,0,1,0,0,,,,,,,,,,,
1508,기본기록,2020,삼성,4,2,1,0,0,1,0,1,0,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2018,삼성,1,1,1,0,0,0,0,0,0,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,세부기록,2021,삼성,,6,,,,,,,,,0.400,0.400,,,0.733,0.306,-,,,,,,,,,,0.0,16.7,0.00,0.000,-,0.42,2.27,0.55,21.12,-0.46,-0.22
1508,세부기록,2023,삼성,,67,,,,,,,,,0.293,0.293,,,0.705,0.311,-,,,,,,,,,,3.0,6.0,0.50,0.104,-,8.05,4.53,6.40,17.81,1.05,-2.20
1508,세부기록,2024,삼성,,26,,,,,,,,,0.333,0.286,,,0.653,0.292,-,,,,,,,,,,7.7,19.2,0.40,0.047,-,2.95,4.43,2.05,12.55,0.19,-1.29
1508,세부기록,2017,삼성,,4,,,,,,,,,0.000,0.250,,,1.250,0.489,-,,,,,,,,,,0.0,50.0,0.00,0.750,4.00,1.00,9.00,1.03,-,0.00,0.52
1508,세부기록,2022,삼성,,10,,,,,,,,,0.200,0.125,,,0.347,0.183,-,,,,,,,,,,10.0,30.0,0.33,0.000,-,0.36,1.20,-0.21,31.81,0.01,-1.49
1508,세부기록,2020,삼성,,2,,,,,,,,,0.000,0.000,,,0.500,0.362,-,,,,,,,,,,50.0,0.0,-,0.000,-,0.13,3.51,0.28,6.81,0.00,0.03
1508,세부기록,2018,삼성,,1,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,0.0,-,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
