선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1508,메인기록,2023,삼성,35,67,60,21,0,10,2,4,9,6,0.412,0.350,0.400,0.383,0.783,0.364,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2017,삼성,5,5,5,1,1,1,2,0,1,0,0.000,0.200,0.200,0.800,1.000,0.391,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2022,삼성,10,8,7,1,0,2,0,1,2,0,0.200,0.143,0.250,0.143,0.393,0.205,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2024,삼성,12,17,13,1,0,1,1,3,4,1,0.100,0.077,0.235,0.077,0.312,0.182,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2021,삼성,6,4,4,0,0,0,0,0,2,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2020,삼성,3,2,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1508,기본기록,2023,삼성,35,67,60,21,0,10,2,4,9,6,,0.350,,,,,,19,2,0,0,1,0,2,2,2,,,,,,,,,,,
1508,기본기록,2017,삼성,5,5,5,1,1,1,2,0,1,0,,0.200,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2022,삼성,10,8,7,1,0,2,0,1,2,0,,0.143,,,,,,1,0,0,0,0,0,0,0,2,,,,,,,,,,,
1508,기본기록,2024,삼성,12,17,13,1,0,1,1,3,4,1,,0.077,,,,,,1,0,0,0,0,1,1,0,0,,,,,,,,,,,
1508,기본기록,2021,삼성,6,4,4,0,0,0,0,0,2,0,,0.000,,,,,,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
1508,기본기록,2020,삼성,3,2,2,0,0,0,0,0,0,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,세부기록,2023,삼성,,67,,,,,,,,,0.412,0.350,,,0.783,0.364,-,,,,,,,,,,6.0,13.4,0.44,0.033,-,9.35,5.61,9.66,4.66,0.14,1.05
1508,세부기록,2017,삼성,,5,,,,,,,,,0.000,0.200,,,1.000,0.391,-,,,,,,,,,,0.0,20.0,0.00,0.600,5.00,0.80,5.40,0.84,-,0.00,0.20
1508,세부기록,2022,삼성,,8,,,,,,,,,0.200,0.143,,,0.393,0.205,-,,,,,,,,,,12.5,25.0,0.50,0.000,-,0.00,0.00,0.00,9.29,-0.92,-1.03
1508,세부기록,2024,삼성,,17,,,,,,,,,0.100,0.077,,,0.312,0.182,-,,,,,,,,,,17.6,23.5,0.75,0.000,-,0.66,1.38,-0.37,4.78,0.18,-2.55
1508,세부기록,2021,삼성,,4,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.00,0.00,-0.75,-,-0.46,-1.26
1508,세부기록,2020,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,0.0,-,0.000,-,0.00,0.00,-0.37,-,0.00,-0.63
