선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1687,메인기록,2019,삼성,19,42,34,8,0,3,2,4,17,0,0.444,0.235,0.308,0.294,0.602,0.281,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2021,삼성,14,31,27,3,0,1,1,1,14,0,0.231,0.111,0.200,0.148,0.348,0.179,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2020,삼성,13,15,11,1,0,2,2,3,6,0,0.200,0.091,0.286,0.091,0.377,0.221,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2023,삼성,3,2,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1687,기본기록,2019,삼성,19,42,34,8,0,3,2,4,17,0,,0.235,,,,,,6,2,0,0,0,1,4,0,0,,,,,,,,,,,
1687,기본기록,2021,삼성,14,31,27,3,0,1,1,1,14,0,,0.111,,,,,,2,1,0,0,2,0,1,0,0,,,,,,,,,,,
1687,기본기록,2020,삼성,13,15,11,1,0,2,2,3,6,0,,0.091,,,,,,1,0,0,0,0,0,1,0,0,,,,,,,,,,,
1687,기본기록,2023,삼성,3,2,2,0,0,0,0,0,0,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,세부기록,2019,삼성,,42,,,,,,,,,0.444,0.235,,,0.602,0.281,-,,,,,,,,,,9.5,40.5,0.24,0.059,-,3.75,3.37,2.87,3.06,0.03,-2.53
1687,세부기록,2021,삼성,,31,,,,,,,,,0.231,0.111,,,0.348,0.179,-,,,,,,,,,,3.2,45.2,0.07,0.037,-,1.03,1.11,-0.74,4.31,0.01,-4.72
1687,세부기록,2020,삼성,,15,,,,,,,,,0.200,0.091,,,0.377,0.221,-,,,,,,,,,,20.0,40.0,0.50,0.000,-,0.61,1.51,0.21,4.31,0.01,-1.72
1687,세부기록,2023,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,0.0,-,0.000,-,0.00,0.00,-0.37,-,0.00,-0.63
