선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1687,메인기록,2020,삼성,25,49,41,9,0,0,9,5,16,0,0.333,0.220,0.292,0.268,0.560,0.262,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2019,삼성,46,106,93,19,2,4,7,8,36,0,0.304,0.204,0.265,0.333,0.598,0.269,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2021,삼성,19,46,41,6,0,1,1,2,20,0,0.286,0.146,0.222,0.195,0.417,0.205,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2023,삼성,7,8,7,1,0,0,0,1,0,0,0.143,0.143,0.250,0.143,0.393,0.205,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2024,삼성,1,3,3,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1687,기본기록,2020,삼성,25,49,41,9,0,0,9,5,16,0,,0.220,,,,,,7,2,0,0,0,2,3,0,0,,,,,,,,,,,
1687,기본기록,2019,삼성,46,106,93,19,2,4,7,8,36,0,,0.204,,,,,,11,6,0,0,0,1,5,0,0,,,,,,,,,,,
1687,기본기록,2021,삼성,19,46,41,6,0,1,1,2,20,0,,0.146,,,,,,4,2,0,0,2,0,1,0,0,,,,,,,,,,,
1687,기본기록,2023,삼성,7,8,7,1,0,0,0,1,0,0,,0.143,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,기본기록,2024,삼성,1,3,3,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,세부기록,2020,삼성,,49,,,,,,,,,0.333,0.220,,,0.560,0.262,-,,,,,,,,,,10.2,32.6,0.31,0.048,-,3.96,3.05,2.53,1.81,0.03,-3.77
1687,세부기록,2019,삼성,,106,,,,,,,,,0.304,0.204,,,0.598,0.269,-,,,,,,,,,,7.6,34.0,0.22,0.129,46.50,9.09,3.11,6.09,2.21,0.05,-7.53
1687,세부기록,2021,삼성,,46,,,,,,,,,0.286,0.146,,,0.417,0.205,-,,,,,,,,,,4.4,43.5,0.10,0.049,-,2.08,1.56,-0.03,2.65,0.02,-5.94
1687,세부기록,2023,삼성,,8,,,,,,,,,0.143,0.143,,,0.393,0.205,-,,,,,,,,,,12.5,0.0,-,0.000,-,0.32,1.42,0.00,1.81,0.01,-1.03
1687,세부기록,2024,삼성,,3,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,33.3,0.00,0.000,-,0.00,0.00,-0.56,-,0.00,-0.95
