선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1754,메인기록,2020,삼성,5,12,9,4,0,0,0,2,1,0,0.500,0.444,0.545,0.444,0.989,0.466,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2024,삼성,2,9,7,2,0,1,0,1,0,1,0.286,0.286,0.444,0.286,0.730,0.371,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2021,삼성,9,23,18,4,0,3,1,4,1,2,0.235,0.222,0.364,0.222,0.586,0.299,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2022,삼성,2,11,7,0,0,0,0,3,1,1,0.000,0.000,0.300,0.000,0.300,0.217,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2023,삼성,1,2,2,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1754,기본기록,2020,삼성,5,12,9,4,0,0,0,2,1,0,,0.444,,,,,,4,0,0,0,0,0,1,0,1,,,,,,,,,,,
1754,기본기록,2024,삼성,2,9,7,2,0,1,0,1,0,1,,0.286,,,,,,2,0,0,0,1,0,0,0,0,,,,,,,,,,,
1754,기본기록,2021,삼성,9,23,18,4,0,3,1,4,1,2,,0.222,,,,,,4,0,0,0,0,0,1,0,0,,,,,,,,,,,
1754,기본기록,2022,삼성,2,11,7,0,0,0,0,3,1,1,,0.000,,,,,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
1754,기본기록,2023,삼성,1,2,2,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1754,세부기록,2020,삼성,,12,,,,,,,,,0.500,0.444,,,0.989,0.466,-,,,,,,,,,,16.7,8.3,2.00,0.000,-,2.10,8.10,2.84,2.77,-0.45,1.30
1754,세부기록,2024,삼성,,9,,,,,,,,,0.286,0.286,,,0.730,0.371,-,,,,,,,,,,11.1,0.0,-,0.000,-,1.35,7.30,1.35,6.03,0.18,0.20
1754,세부기록,2021,삼성,,23,,,,,,,,,0.235,0.222,,,0.586,0.299,-,,,,,,,,,,17.4,4.4,4.00,0.000,-,2.30,4.13,1.95,5.63,0.36,-1.01
1754,세부기록,2022,삼성,,11,,,,,,,,,0.000,0.000,,,0.300,0.217,-,,,,,,,,,,27.3,9.1,3.00,0.000,-,0.50,1.68,0.12,3.75,0.17,-1.30
1754,세부기록,2023,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.00,0.00,-0.37,-,0.00,-0.63
