선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1754,메인기록,2021,삼성,29,52,45,17,0,7,7,2,5,6,0.405,0.378,0.388,0.422,0.810,0.363,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2023,삼성,18,33,28,10,0,6,0,3,1,4,0.370,0.357,0.438,0.357,0.795,0.379,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2022,삼성,30,42,37,12,0,8,2,4,5,6,0.375,0.324,0.390,0.405,0.795,0.367,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2024,삼성,26,43,36,9,1,10,2,4,5,2,0.267,0.250,0.357,0.389,0.746,0.335,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2020,삼성,30,34,30,5,0,10,0,3,7,2,0.217,0.167,0.242,0.167,0.409,0.205,-,,,,,,,,,,,,,,,,,,,,
1754,기본기록,2021,삼성,29,52,45,17,0,7,7,2,5,6,,0.378,,,,,,15,2,0,0,0,2,5,0,1,,,,,,,,,,,
1754,기본기록,2023,삼성,18,33,28,10,0,6,0,3,1,4,,0.357,,,,,,10,0,0,0,1,0,1,1,0,,,,,,,,,,,
1754,기본기록,2022,삼성,30,42,37,12,0,8,2,4,5,6,,0.324,,,,,,10,1,1,0,0,0,1,0,1,,,,,,,,,,,
1754,기본기록,2024,삼성,26,43,36,9,1,10,2,4,5,2,,0.250,,,,,,6,2,0,1,2,0,1,0,0,,,,,,,,,,,
1754,기본기록,2020,삼성,30,34,30,5,0,10,0,3,7,2,,0.167,,,,,,5,0,0,0,0,0,1,0,0,,,,,,,,,,,
1754,세부기록,2021,삼성,,52,,,,,,,,,0.405,0.378,,,0.810,0.363,-,,,,,,,,,,3.8,9.6,0.40,0.044,-,8.74,6.94,7.42,6.35,0.58,0.74
1754,세부기록,2023,삼성,,33,,,,,,,,,0.370,0.357,,,0.795,0.379,-,,,,,,,,,,9.1,3.0,3.00,0.000,-,5.37,7.25,5.22,5.19,0.71,0.97
1754,세부기록,2022,삼성,,42,,,,,,,,,0.375,0.324,,,0.795,0.367,-,,,,,,,,,,9.5,11.9,0.80,0.081,-,7.03,7.03,6.17,10.32,0.58,0.78
1754,세부기록,2024,삼성,,43,,,,,,,,,0.267,0.250,,,0.746,0.335,-,,,,,,,,,,9.3,11.6,0.80,0.139,36.00,5.88,5.67,5.06,8.54,0.36,-0.47
1754,세부기록,2020,삼성,,34,,,,,,,,,0.217,0.167,,,0.409,0.205,-,,,,,,,,,,8.8,20.6,0.43,0.000,-,1.73,1.79,-0.01,10.00,0.36,-4.38
