선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
478,메인기록,2024,삼성,52,138,127,41,5,13,11,8,23,4,0.360,0.323,0.360,0.465,0.825,0.365,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2018,삼성,70,278,248,69,3,27,27,21,31,4,0.307,0.278,0.348,0.363,0.711,0.328,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2019,삼성,63,248,228,59,2,15,18,14,24,5,0.279,0.259,0.305,0.333,0.638,0.291,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2021,삼성,51,154,136,35,0,11,5,15,18,3,0.297,0.257,0.340,0.301,0.641,0.306,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2017,삼성,70,229,212,48,3,19,15,8,27,4,0.246,0.226,0.260,0.302,0.562,0.256,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2020,삼성,46,131,124,23,2,11,13,5,15,2,0.193,0.185,0.214,0.274,0.488,0.218,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2014,삼성,24,49,44,8,1,3,4,3,11,0,0.219,0.182,0.265,0.273,0.538,0.254,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2022,삼성,44,128,123,18,1,6,9,4,12,0,0.155,0.146,0.173,0.203,0.376,0.172,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2023,삼성,4,4,4,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
478,기본기록,2024,삼성,52,138,127,41,5,13,11,8,23,4,,0.323,,,,,,33,3,0,0,0,1,3,1,1,,,,,,,,,,,
478,기본기록,2018,삼성,70,278,248,69,3,27,27,21,31,4,,0.278,,,,,,54,12,0,0,6,1,3,2,3,,,,,,,,,,,
478,기본기록,2019,삼성,63,248,228,59,2,15,18,14,24,5,,0.259,,,,,,47,9,1,1,2,2,4,13,2,,,,,,,,,,,
478,기본기록,2021,삼성,51,154,136,35,0,11,5,15,18,3,,0.257,,,,,,30,4,1,0,2,0,1,4,2,,,,,,,,,,,
478,기본기록,2017,삼성,70,229,212,48,3,19,15,8,27,4,,0.226,,,,,,39,5,1,0,2,1,7,5,0,,,,,,,,,,,
478,기본기록,2020,삼성,46,131,124,23,2,11,13,5,15,2,,0.185,,,,,,16,5,0,0,0,2,2,3,1,,,,,,,,,,,
478,기본기록,2014,삼성,24,49,44,8,1,3,4,3,11,0,,0.182,,,,,,6,1,0,0,2,0,0,0,0,,,,,,,,,,,
478,기본기록,2022,삼성,44,128,123,18,1,6,9,4,12,0,,0.146,,,,,,13,4,0,0,0,0,1,6,0,,,,,,,,,,,
478,기본기록,2023,삼성,4,4,4,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
478,세부기록,2024,삼성,,138,,,,,,,,,0.360,0.323,,,0.825,0.365,-,,,,,,,,,,5.8,16.7,0.35,0.142,25.40,22.04,6.54,20.06,3.94,0.32,2.33
478,세부기록,2018,삼성,,278,,,,,,,,,0.307,0.278,,,0.711,0.328,-,,,,,,,,,,7.6,11.2,0.68,0.085,82.67,32.95,4.76,30.98,4.05,-0.49,-4.73
478,세부기록,2019,삼성,,248,,,,,,,,,0.279,0.259,,,0.638,0.291,-,,,,,,,,,,5.6,9.7,0.58,0.074,114.00,20.46,2.94,19.16,2.22,0.08,-12.71
478,세부기록,2021,삼성,,154,,,,,,,,,0.297,0.257,,,0.641,0.306,-,,,,,,,,,,9.7,11.7,0.83,0.044,-,14.19,3.55,14.01,3.67,-0.29,-5.78
478,세부기록,2017,삼성,,229,,,,,,,,,0.246,0.226,,,0.562,0.256,-,,,,,,,,,,3.5,11.8,0.30,0.076,70.67,16.74,2.57,10.51,4.48,0.80,-18.92
478,세부기록,2020,삼성,,131,,,,,,,,,0.193,0.185,,,0.488,0.218,-,,,,,,,,,,3.8,11.4,0.33,0.089,62.00,6.85,1.73,1.49,3.79,-0.07,-15.34
478,세부기록,2014,삼성,,49,,,,,,,,,0.219,0.182,,,0.538,0.254,-,,,,,,,,,,6.1,22.4,0.27,0.091,44.00,3.53,2.65,2.17,3.06,0.03,-4.12
478,세부기록,2022,삼성,,128,,,,,,,,,0.155,0.146,,,0.376,0.172,-,,,,,,,,,,3.1,9.4,0.33,0.057,123.00,3.32,0.80,-3.88,0.82,0.05,-20.33
478,세부기록,2023,삼성,,4,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,25.0,0.00,0.000,-,0.00,0.00,-0.75,-,0.00,-1.26
