선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
478,메인기록,2014,삼성,13,22,19,6,1,2,4,1,5,0,0.385,0.316,0.409,0.579,0.988,0.437,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2019,삼성,19,78,70,22,0,9,8,6,6,2,0.338,0.314,0.364,0.329,0.693,0.324,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2024,삼성,17,48,45,13,0,7,5,3,7,1,0.342,0.289,0.333,0.333,0.666,0.309,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2018,삼성,21,94,85,24,3,16,14,5,5,2,0.269,0.282,0.333,0.447,0.780,0.345,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2020,삼성,15,44,36,10,0,7,6,5,3,0,0.286,0.278,0.364,0.306,0.670,0.317,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2017,삼성,22,76,65,16,2,8,6,4,7,0,0.246,0.246,0.306,0.369,0.675,0.305,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2021,삼성,20,53,51,11,0,3,6,0,11,0,0.268,0.216,0.226,0.294,0.520,0.233,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2022,삼성,9,28,27,4,1,2,3,0,0,0,0.111,0.148,0.143,0.259,0.402,0.168,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2023,삼성,1,1,1,0,0,0,0,0,1,0,-,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2013,삼성,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
478,기본기록,2014,삼성,13,22,19,6,1,2,4,1,5,0,,0.316,,,,,,4,0,1,0,2,0,0,1,0,,,,,,,,,,,
478,기본기록,2019,삼성,19,78,70,22,0,9,8,6,6,2,,0.314,,,,,,21,1,0,0,0,1,2,2,3,,,,,,,,,,,
478,기본기록,2024,삼성,17,48,45,13,0,7,5,3,7,1,,0.289,,,,,,11,2,0,0,0,0,0,0,0,,,,,,,,,,,
478,기본기록,2018,삼성,21,94,85,24,3,16,14,5,5,2,,0.282,,,,,,16,5,0,0,2,1,2,1,1,,,,,,,,,,,
478,기본기록,2020,삼성,15,44,36,10,0,7,6,5,3,0,,0.278,,,,,,9,1,0,0,1,2,2,0,0,,,,,,,,,,,
478,기본기록,2017,삼성,22,76,65,16,2,8,6,4,7,0,,0.246,,,,,,12,2,0,0,2,1,5,2,1,,,,,,,,,,,
478,기본기록,2021,삼성,20,53,51,11,0,3,6,0,11,0,,0.216,,,,,,8,2,1,0,1,1,1,1,1,,,,,,,,,,,
478,기본기록,2022,삼성,9,28,27,4,1,2,3,0,0,0,,0.148,,,,,,3,0,0,0,0,1,1,1,1,,,,,,,,,,,
478,기본기록,2023,삼성,1,1,1,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
478,기본기록,2013,삼성,2,0,0,0,0,0,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
478,세부기록,2014,삼성,,22,,,,,,,,,0.385,0.316,,,0.988,0.437,-,,,,,,,,,,4.6,22.7,0.20,0.263,19.00,4.28,8.26,4.63,7.68,0.02,1.80
478,세부기록,2019,삼성,,78,,,,,,,,,0.338,0.314,,,0.693,0.324,-,,,,,,,,,,7.7,7.7,1.00,0.015,-,7.86,3.86,8.37,3.35,-0.98,-1.66
478,세부기록,2024,삼성,,48,,,,,,,,,0.342,0.289,,,0.666,0.309,-,,,,,,,,,,6.2,14.6,0.43,0.044,-,5.43,4.58,4.50,5.05,0.21,-1.67
478,세부기록,2018,삼성,,94,,,,,,,,,0.269,0.282,,,0.780,0.345,-,,,,,,,,,,5.3,5.3,1.00,0.165,28.33,12.93,5.37,11.91,5.32,-0.06,-0.16
478,세부기록,2020,삼성,,44,,,,,,,,,0.286,0.278,,,0.670,0.317,-,,,,,,,,,,11.4,6.8,1.67,0.028,-,4.95,4.77,4.45,4.31,0.04,-1.21
478,세부기록,2017,삼성,,76,,,,,,,,,0.246,0.246,,,0.675,0.305,-,,,,,,,,,,5.3,9.2,0.57,0.123,32.50,7.04,3.33,6.84,2.72,-0.41,-2.93
478,세부기록,2021,삼성,,53,,,,,,,,,0.268,0.216,,,0.520,0.233,-,,,,,,,,,,0.0,20.8,0.00,0.078,-,2.98,1.87,1.34,5.55,-0.44,-5.47
478,세부기록,2022,삼성,,28,,,,,,,,,0.111,0.148,,,0.402,0.168,-,,,,,,,,,,0.0,0.0,-,0.111,27.00,0.54,0.56,-0.95,3.38,-0.45,-4.55
478,세부기록,2023,삼성,,1,,,,,,,,,-,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,100.0,0.00,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
478,세부기록,2013,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.00,-
