선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
478,메인기록,2018,삼성,132,313,280,89,5,5,5,27,39,0,0.356,0.318,0.390,0.425,0.815,0.372,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2024,삼성,106,158,148,46,6,6,6,9,26,0,0.345,0.311,0.354,0.453,0.807,0.360,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2019,삼성,113,250,230,67,2,2,2,19,22,0,0.316,0.291,0.348,0.365,0.713,0.328,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2021,삼성,105,176,155,42,3,3,3,21,21,0,0.298,0.271,0.358,0.374,0.732,0.338,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2020,삼성,88,157,141,35,1,1,1,15,20,0,0.283,0.248,0.325,0.305,0.630,0.297,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2017,삼성,110,214,196,46,4,4,4,14,24,0,0.250,0.235,0.299,0.342,0.641,0.294,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2014,삼성,55,80,70,15,0,0,0,8,13,0,0.263,0.214,0.313,0.300,0.613,0.292,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2022,삼성,75,135,129,27,1,1,1,6,10,0,0.220,0.209,0.244,0.264,0.508,0.234,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2013,삼성,6,2,2,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2023,삼성,6,2,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
478,기본기록,2018,삼성,132,313,280,89,5,5,5,27,39,0,,0.318,,,,,,70,13,1,0,6,0,0,0,0,,,,,,,,,,,
478,기본기록,2024,삼성,106,158,148,46,6,6,6,9,26,0,,0.311,,,,,,38,1,1,0,1,0,0,0,0,,,,,,,,,,,
478,기본기록,2019,삼성,113,250,230,67,2,2,2,19,22,0,,0.291,,,,,,54,11,0,0,1,0,0,0,0,,,,,,,,,,,
478,기본기록,2021,삼성,105,176,155,42,3,3,3,21,21,0,,0.271,,,,,,33,5,1,0,0,0,0,0,0,,,,,,,,,,,
478,기본기록,2020,삼성,88,157,141,35,1,1,1,15,20,0,,0.248,,,,,,29,5,0,0,1,0,0,0,0,,,,,,,,,,,
478,기본기록,2017,삼성,110,214,196,46,4,4,4,14,24,0,,0.235,,,,,,34,7,1,0,4,0,0,0,0,,,,,,,,,,,
478,기본기록,2014,삼성,55,80,70,15,0,0,0,8,13,0,,0.214,,,,,,11,2,2,0,2,0,0,0,0,,,,,,,,,,,
478,기본기록,2022,삼성,75,135,129,27,1,1,1,6,10,0,,0.209,,,,,,22,4,0,0,0,0,0,0,0,,,,,,,,,,,
478,기본기록,2013,삼성,6,2,2,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
478,기본기록,2023,삼성,6,2,2,0,0,0,0,0,0,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
478,세부기록,2018,삼성,,313,,,,,,,,,0.356,0.318,,,0.815,0.372,-,,,,,,,,,,8.6,12.5,0.69,0.107,56.00,49.73,7.03,47.42,2.24,0.29,7.20
478,세부기록,2024,삼성,,158,,,,,,,,,0.345,0.311,,,0.807,0.360,-,,,,,,,,,,5.7,16.5,0.35,0.142,24.67,24.67,6.53,22.22,2.68,0.14,1.92
478,세부기록,2019,삼성,,250,,,,,,,,,0.316,0.291,,,0.713,0.328,-,,,,,,,,,,7.6,8.8,0.86,0.074,115.00,31.04,5.14,27.84,1.81,0.21,-4.28
478,세부기록,2021,삼성,,176,,,,,,,,,0.298,0.271,,,0.732,0.338,-,,,,,,,,,,11.9,11.9,1.00,0.103,51.67,22.72,5.43,21.15,2.58,0.15,-1.46
478,세부기록,2020,삼성,,157,,,,,,,,,0.283,0.248,,,0.630,0.297,-,,,,,,,,,,9.6,12.7,0.75,0.057,141.00,15.32,3.90,13.01,1.81,0.13,-7.16
478,세부기록,2017,삼성,,214,,,,,,,,,0.250,0.235,,,0.641,0.294,-,,,,,,,,,,6.5,11.2,0.58,0.107,49.00,21.44,3.86,17.18,2.41,0.15,-10.31
478,세부기록,2014,삼성,,80,,,,,,,,,0.263,0.214,,,0.613,0.292,-,,,,,,,,,,10.0,16.2,0.62,0.086,-,7.38,3.62,6.32,5.32,0.06,-3.96
478,세부기록,2022,삼성,,135,,,,,,,,,0.220,0.209,,,0.508,0.234,-,,,,,,,,,,4.4,7.4,0.60,0.055,129.00,8.69,2.30,3.49,1.81,0.08,-13.86
478,세부기록,2013,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.00,0.00,-0.37,-,0.00,-0.63
478,세부기록,2023,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,0.0,-,0.000,-,0.00,0.00,-0.37,-,0.00,-0.63
