선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2023,삼성,112,167,141,48,4,27,24,26,26,5,0.396,0.340,0.443,0.525,0.968,0.427,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,121,210,184,58,11,42,41,23,23,5,0.313,0.315,0.400,0.576,0.976,0.421,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2016,삼성,104,161,139,43,4,40,26,21,28,4,0.364,0.309,0.404,0.489,0.893,0.401,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,107,170,153,47,4,24,22,17,31,8,0.364,0.307,0.376,0.438,0.814,0.363,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,111,161,147,44,5,20,21,12,26,7,0.336,0.299,0.360,0.483,0.843,0.373,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,140,259,223,65,7,40,41,34,62,1,0.377,0.291,0.390,0.502,0.892,0.395,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,107,181,162,46,5,36,33,17,41,3,0.353,0.284,0.359,0.438,0.797,0.358,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,127,181,166,46,6,38,34,14,36,8,0.323,0.277,0.337,0.482,0.819,0.356,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2015,삼성,98,122,109,29,3,42,12,13,23,6,0.313,0.266,0.344,0.440,0.784,0.351,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,92,132,122,28,2,28,11,9,28,5,0.283,0.230,0.288,0.320,0.608,0.280,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2023,삼성,112,167,141,48,4,27,24,26,26,5,,0.340,,,,,,30,14,0,2,0,0,0,0,1,,,,,,,,,,,
517,기본기록,2024,삼성,121,210,184,58,11,42,41,23,23,5,,0.315,,,,,,32,15,0,2,3,0,0,0,2,,,,,,,,,,,
517,기본기록,2016,삼성,104,161,139,43,4,40,26,21,28,4,,0.309,,,,,,30,5,4,0,1,0,0,0,1,,,,,,,,,,,
517,기본기록,2020,삼성,107,170,153,47,4,24,22,17,31,8,,0.307,,,,,,35,8,0,2,0,0,0,0,2,,,,,,,,,,,
517,기본기록,2019,삼성,111,161,147,44,5,20,21,12,26,7,,0.299,,,,,,28,10,1,0,2,0,0,0,1,,,,,,,,,,,
517,기본기록,2017,삼성,140,259,223,65,7,40,41,34,62,1,,0.291,,,,,,36,18,4,1,2,0,0,0,3,,,,,,,,,,,
517,기본기록,2018,삼성,107,181,162,46,5,36,33,17,41,3,,0.284,,,,,,31,10,0,0,2,0,0,0,0,,,,,,,,,,,
517,기본기록,2021,삼성,127,181,166,46,6,38,34,14,36,8,,0.277,,,,,,27,10,3,2,1,0,0,0,3,,,,,,,,,,,
517,기본기록,2015,삼성,98,122,109,29,3,42,12,13,23,6,,0.266,,,,,,18,6,2,0,0,0,0,0,1,,,,,,,,,,,
517,기본기록,2022,삼성,92,132,122,28,2,28,11,9,28,5,,0.230,,,,,,22,3,1,0,1,0,0,0,0,,,,,,,,,,,
517,세부기록,2023,삼성,,167,,,,,,,,,0.396,0.340,,,0.968,0.427,-,,,,,,,,,,15.6,15.6,1.00,0.185,35.25,36.21,10.40,33.67,5.21,0.52,12.22
517,세부기록,2024,삼성,,210,,,,,,,,,0.313,0.315,,,0.976,0.421,-,,,,,,,,,,11.0,11.0,1.00,0.261,16.73,44.84,9.46,41.04,5.78,0.07,14.06
517,세부기록,2016,삼성,,161,,,,,,,,,0.364,0.309,,,0.893,0.401,-,,,,,,,,,,13.0,17.4,0.75,0.180,34.75,30.13,8.39,28.57,10.11,0.35,7.88
517,세부기록,2020,삼성,,170,,,,,,,,,0.364,0.307,,,0.814,0.363,-,,,,,,,,,,10.0,18.2,0.55,0.131,38.25,27.37,6.84,24.34,5.69,0.55,2.49
517,세부기록,2019,삼성,,161,,,,,,,,,0.336,0.299,,,0.843,0.373,-,,,,,,,,,,7.4,16.2,0.46,0.184,29.40,27.71,7.19,24.58,6.41,0.82,3.89
517,세부기록,2017,삼성,,259,,,,,,,,,0.377,0.291,,,0.892,0.395,-,,,,,,,,,,13.1,23.9,0.55,0.211,31.86,46.02,7.72,44.54,6.68,-1.02,11.27
517,세부기록,2018,삼성,,181,,,,,,,,,0.353,0.284,,,0.797,0.358,-,,,,,,,,,,9.4,22.6,0.42,0.154,32.40,27.83,6.48,25.09,5.97,0.64,1.84
517,세부기록,2021,삼성,,181,,,,,,,,,0.323,0.277,,,0.819,0.356,-,,,,,,,,,,7.7,19.9,0.39,0.205,27.67,28.05,6.16,24.82,9.60,0.06,1.56
517,세부기록,2015,삼성,,122,,,,,,,,,0.313,0.266,,,0.784,0.351,-,,,,,,,,,,10.7,18.8,0.56,0.174,36.33,18.32,6.11,16.14,11.44,0.62,0.46
517,세부기록,2022,삼성,,132,,,,,,,,,0.283,0.230,,,0.608,0.280,-,,,,,,,,,,6.8,21.2,0.32,0.090,61.00,12.72,3.65,8.90,8.81,0.92,-8.06
