선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2023,삼성,41,11,8,6,0,8,10,2,2,4,0.857,0.750,0.727,1.125,1.852,0.728,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,38,13,11,7,0,4,9,1,0,2,0.583,0.636,0.615,0.818,1.433,0.604,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,59,24,21,13,2,23,22,1,5,2,0.688,0.619,0.583,1.048,1.631,0.658,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,49,22,18,8,0,10,12,3,2,3,0.471,0.444,0.500,0.556,1.056,0.452,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,51,14,14,6,1,11,10,0,3,2,0.500,0.429,0.429,0.643,1.072,0.468,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,56,18,15,6,2,17,13,0,1,2,0.267,0.400,0.333,0.800,1.133,0.422,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,51,15,12,3,2,15,9,1,3,3,0.111,0.250,0.267,0.750,1.017,0.370,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2015,삼성,45,11,9,1,0,15,3,1,2,4,0.125,0.111,0.182,0.111,0.293,0.149,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,30,9,9,1,0,6,3,0,2,2,0.143,0.111,0.111,0.222,0.333,0.141,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2016,삼성,53,15,11,1,0,16,2,3,2,1,0.111,0.091,0.333,0.091,0.424,0.258,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2023,삼성,41,11,8,6,0,8,10,2,2,4,,0.750,,,,,,3,3,0,0,0,1,1,0,0,,,,,,,,,,,
517,기본기록,2019,삼성,38,13,11,7,0,4,9,1,0,2,,0.636,,,,,,5,2,0,0,0,1,1,0,0,,,,,,,,,,,
517,기본기록,2017,삼성,59,24,21,13,2,23,22,1,5,2,,0.619,,,,,,8,3,0,0,0,2,2,0,1,,,,,,,,,,,
517,기본기록,2024,삼성,49,22,18,8,0,10,12,3,2,3,,0.444,,,,,,6,2,0,1,0,1,1,2,0,,,,,,,,,,,
517,기본기록,2020,삼성,51,14,14,6,1,11,10,0,3,2,,0.429,,,,,,5,0,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2021,삼성,56,18,15,6,2,17,13,0,1,2,,0.400,,,,,,4,0,0,0,0,3,3,0,0,,,,,,,,,,,
517,기본기록,2018,삼성,51,15,12,3,2,15,9,1,3,3,,0.250,,,,,,1,0,0,0,0,2,2,1,0,,,,,,,,,,,
517,기본기록,2015,삼성,45,11,9,1,0,15,3,1,2,4,,0.111,,,,,,1,0,0,0,0,1,1,1,1,,,,,,,,,,,
517,기본기록,2022,삼성,30,9,9,1,0,6,3,0,2,2,,0.111,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2016,삼성,53,15,11,1,0,16,2,3,2,1,,0.091,,,,,,1,0,0,0,1,0,0,0,1,,,,,,,,,,,
517,세부기록,2023,삼성,,11,,,,,,,,,0.857,0.750,,,1.852,0.728,-,,,,,,,,,,18.2,18.2,1.00,0.375,-,8.81,79.33,5.22,10.20,0.68,3.81
517,세부기록,2019,삼성,,13,,,,,,,,,0.583,0.636,,,1.433,0.604,-,,,,,,,,,,7.7,0.0,-,0.182,-,6.66,35.96,4.71,6.47,0.35,3.04
517,세부기록,2017,삼성,,24,,,,,,,,,0.688,0.619,,,1.631,0.658,-,,,,,,,,,,4.2,20.8,0.20,0.429,10.50,13.18,32.36,9.87,12.50,-0.10,6.79
517,세부기록,2024,삼성,,22,,,,,,,,,0.471,0.444,,,1.056,0.452,-,,,,,,,,,,13.6,9.1,1.50,0.112,-,5.15,10.71,4.93,4.25,0.52,2.11
517,세부기록,2020,삼성,,14,,,,,,,,,0.500,0.429,,,1.072,0.468,-,,,,,,,,,,0.0,21.4,0.00,0.214,14.00,4.30,14.52,3.34,14.13,0.35,1.54
517,세부기록,2021,삼성,,18,,,,,,,,,0.267,0.400,,,1.133,0.422,-,,,,,,,,,,0.0,5.6,0.00,0.400,7.50,4.87,10.95,3.54,23.09,0.34,1.22
517,세부기록,2018,삼성,,15,,,,,,,,,0.111,0.250,,,1.017,0.370,-,,,,,,,,,,6.7,20.0,0.33,0.500,6.00,2.37,5.34,2.25,32.78,0.50,0.32
517,세부기록,2015,삼성,,11,,,,,,,,,0.125,0.111,,,0.293,0.149,-,,,,,,,,,,9.1,18.2,0.50,0.000,-,0.00,0.00,-0.56,38.74,0.21,-1.98
517,세부기록,2022,삼성,,9,,,,,,,,,0.143,0.111,,,0.333,0.141,-,,,,,,,,,,0.0,22.2,0.00,0.111,-,0.34,1.14,-0.53,-,0.33,-1.69
517,세부기록,2016,삼성,,15,,,,,,,,,0.111,0.091,,,0.424,0.258,-,,,,,,,,,,20.0,13.3,1.50,0.000,-,0.68,1.68,0.71,30.35,-0.28,-1.21
