선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2023,삼성,41,11,9,6,1,13,15,1,1,0,0.625,0.667,0.636,1.000,1.636,0.661,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,31,10,8,3,0,7,8,0,2,0,0.375,0.375,0.300,0.500,0.800,0.310,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2015,삼성,44,12,11,4,0,19,9,1,2,0,0.444,0.364,0.417,0.455,0.872,0.396,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2016,삼성,48,11,9,3,0,18,8,1,2,0,0.375,0.333,0.364,0.444,0.808,0.348,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,50,17,15,4,1,16,13,1,3,0,0.250,0.267,0.294,0.533,0.827,0.340,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,30,10,9,2,0,10,4,1,2,0,0.286,0.222,0.300,0.222,0.522,0.256,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,33,15,11,2,0,9,8,3,3,0,0.222,0.182,0.333,0.273,0.606,0.291,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,55,22,13,2,0,13,12,3,3,0,0.133,0.154,0.273,0.154,0.427,0.218,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,44,20,13,2,0,15,12,4,5,0,0.200,0.154,0.350,0.231,0.581,0.293,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,40,12,8,1,0,12,7,1,0,0,0.100,0.125,0.250,0.125,0.375,0.202,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2023,삼성,41,11,9,6,1,13,15,1,1,0,,0.667,,,,,,5,0,0,0,0,1,1,0,0,,,,,,,,,,,
517,기본기록,2020,삼성,31,10,8,3,0,7,8,0,2,0,,0.375,,,,,,2,1,0,0,0,2,2,0,0,,,,,,,,,,,
517,기본기록,2015,삼성,44,12,11,4,0,19,9,1,2,0,,0.364,,,,,,3,1,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2016,삼성,48,11,9,3,0,18,8,1,2,0,,0.333,,,,,,2,1,0,0,0,1,1,1,0,,,,,,,,,,,
517,기본기록,2024,삼성,50,17,15,4,1,16,13,1,3,0,,0.267,,,,,,2,1,0,0,0,1,1,1,0,,,,,,,,,,,
517,기본기록,2018,삼성,30,10,9,2,0,10,4,1,2,0,,0.222,,,,,,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2022,삼성,33,15,11,2,0,9,8,3,3,0,,0.182,,,,,,1,1,0,0,0,1,1,1,0,,,,,,,,,,,
517,기본기록,2017,삼성,55,22,13,2,0,13,12,3,3,0,,0.154,,,,,,2,0,0,0,1,5,5,0,0,,,,,,,,,,,
517,기본기록,2021,삼성,44,20,13,2,0,15,12,4,5,0,,0.154,,,,,,1,1,0,0,1,2,2,0,0,,,,,,,,,,,
517,기본기록,2019,삼성,40,12,8,1,0,12,7,1,0,0,,0.125,,,,,,1,0,0,0,1,2,2,0,0,,,,,,,,,,,
517,세부기록,2023,삼성,,11,,,,,,,,,0.625,0.667,,,1.636,0.661,-,,,,,,,,,,9.1,9.1,1.00,0.333,9.00,6.22,42.01,4.56,11.81,0.02,3.15
517,세부기록,2020,삼성,,10,,,,,,,,,0.375,0.375,,,0.800,0.310,-,,,,,,,,,,0.0,20.0,0.00,0.125,-,1.51,5.83,0.95,13.48,0.01,-0.33
517,세부기록,2015,삼성,,12,,,,,,,,,0.444,0.364,,,0.872,0.396,-,,,,,,,,,,8.3,16.7,0.50,0.091,-,2.19,8.45,2.07,20.81,0.01,0.53
517,세부기록,2016,삼성,,11,,,,,,,,,0.375,0.333,,,0.808,0.348,-,,,,,,,,,,9.1,18.2,0.50,0.111,-,1.30,4.40,1.43,18.60,0.01,0.01
517,세부기록,2024,삼성,,17,,,,,,,,,0.250,0.267,,,0.827,0.340,-,,,,,,,,,,5.9,17.6,0.33,0.266,15.00,2.07,4.29,2.08,16.93,0.01,-0.10
517,세부기록,2018,삼성,,10,,,,,,,,,0.286,0.222,,,0.522,0.256,-,,,,,,,,,,10.0,20.0,0.50,0.000,-,0.68,2.62,0.46,18.48,0.01,-0.82
517,세부기록,2022,삼성,,15,,,,,,,,,0.222,0.182,,,0.606,0.291,-,,,,,,,,,,20.0,20.0,1.00,0.091,-,1.15,2.81,1.16,5.81,0.01,-0.77
517,세부기록,2017,삼성,,22,,,,,,,,,0.133,0.154,,,0.427,0.218,-,,,,,,,,,,13.6,13.6,1.00,0.000,-,1.54,2.60,0.24,18.06,0.02,-2.58
517,세부기록,2021,삼성,,20,,,,,,,,,0.200,0.154,,,0.581,0.293,-,,,,,,,,,,20.0,25.0,0.80,0.077,-,1.87,3.88,1.59,16.81,0.02,-0.98
517,세부기록,2019,삼성,,12,,,,,,,,,0.100,0.125,,,0.375,0.202,-,,,,,,,,,,8.3,0.0,-,0.000,-,0.64,1.92,-0.04,61.81,0.01,-1.58
