선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2016,삼성,104,253,208,75,5,96,68,35,33,10,0.400,0.361,0.450,0.558,1.008,0.443,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,116,250,211,76,11,66,74,28,34,19,0.382,0.360,0.442,0.578,1.020,0.442,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,126,285,239,85,15,74,97,32,27,13,0.345,0.356,0.435,0.636,1.071,0.453,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,112,252,225,80,7,87,71,20,39,10,0.403,0.356,0.414,0.547,0.961,0.421,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2023,삼성,117,258,225,78,4,58,64,26,38,12,0.398,0.347,0.414,0.476,0.890,0.397,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,141,327,273,93,10,97,96,36,56,10,0.382,0.341,0.419,0.546,0.965,0.419,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2015,삼성,110,203,178,60,5,91,51,19,37,17,0.393,0.337,0.399,0.500,0.899,0.397,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,94,205,186,57,1,65,34,14,36,11,0.371,0.306,0.358,0.392,0.750,0.338,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,137,300,256,73,7,92,73,27,42,27,0.301,0.285,0.348,0.449,0.797,0.347,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,117,257,222,63,9,60,65,25,28,11,0.283,0.284,0.358,0.477,0.835,0.364,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2016,삼성,104,253,208,75,5,96,68,35,33,10,,0.361,,,,,,52,10,8,1,3,5,7,4,5,,,,,,,,,,,
517,기본기록,2020,삼성,116,250,211,76,11,66,74,28,34,19,,0.360,,,,,,53,11,1,3,6,4,5,4,5,,,,,,,,,,,
517,기본기록,2024,삼성,126,285,239,85,15,74,97,32,27,13,,0.356,,,,,,48,22,0,4,6,6,8,6,4,,,,,,,,,,,
517,기본기록,2018,삼성,112,252,225,80,7,87,71,20,39,10,,0.356,,,,,,54,16,3,2,4,2,2,4,0,,,,,,,,,,,
517,기본기록,2023,삼성,117,258,225,78,4,58,64,26,38,12,,0.347,,,,,,58,15,1,2,2,3,4,5,4,,,,,,,,,,,
517,기본기록,2017,삼성,141,327,273,93,10,97,96,36,56,10,,0.341,,,,,,59,22,2,1,8,10,10,1,4,,,,,,,,,,,
517,기본기록,2015,삼성,110,203,178,60,5,91,51,19,37,17,,0.337,,,,,,41,14,0,0,2,4,4,3,7,,,,,,,,,,,
517,기본기록,2022,삼성,94,205,186,57,1,65,34,14,36,11,,0.306,,,,,,45,9,2,2,2,2,3,7,1,,,,,,,,,,,
517,기본기록,2021,삼성,137,300,256,73,7,92,73,27,42,27,,0.285,,,,,,50,11,5,3,4,12,13,9,4,,,,,,,,,,,
517,기본기록,2019,삼성,117,257,222,63,9,60,65,25,28,11,,0.284,,,,,,41,10,3,2,4,6,6,5,3,,,,,,,,,,,
517,세부기록,2016,삼성,,253,,,,,,,,,0.400,0.361,,,1.008,0.443,-,,,,,,,,,,13.8,13.0,1.06,0.197,41.60,55.27,10.02,54.66,11.91,-0.40,22.16
517,세부기록,2020,삼성,,250,,,,,,,,,0.382,0.360,,,1.020,0.442,-,,,,,,,,,,11.2,13.6,0.82,0.218,19.18,57.59,10.44,53.65,7.38,1.09,21.53
517,세부기록,2024,삼성,,285,,,,,,,,,0.345,0.356,,,1.071,0.453,-,,,,,,,,,,11.2,9.5,1.18,0.280,15.93,68.10,10.69,64.00,6.06,0.55,27.38
517,세부기록,2018,삼성,,252,,,,,,,,,0.403,0.356,,,0.961,0.421,-,,,,,,,,,,7.9,15.5,0.51,0.191,32.14,53.77,9.61,49.37,9.58,1.88,16.99
517,세부기록,2023,삼성,,258,,,,,,,,,0.398,0.347,,,0.890,0.397,-,,,,,,,,,,10.1,14.7,0.68,0.129,56.25,46.08,7.78,44.84,6.22,0.39,11.69
517,세부기록,2017,삼성,,327,,,,,,,,,0.382,0.341,,,0.965,0.419,-,,,,,,,,,,11.0,17.1,0.64,0.205,27.30,68.86,9.53,63.48,8.36,0.10,21.47
517,세부기록,2015,삼성,,203,,,,,,,,,0.393,0.337,,,0.899,0.397,-,,,,,,,,,,9.4,18.2,0.51,0.163,35.60,36.86,7.54,35.26,9.55,-0.23,9.18
517,세부기록,2022,삼성,,205,,,,,,,,,0.371,0.306,,,0.750,0.338,-,,,,,,,,,,6.8,17.6,0.39,0.086,186.00,26.61,5.13,24.76,8.65,1.54,-1.58
517,세부기록,2021,삼성,,300,,,,,,,,,0.301,0.285,,,0.797,0.347,-,,,,,,,,,,9.0,14.0,0.64,0.164,36.57,43.40,5.61,38.45,10.68,2.86,-0.09
517,세부기록,2019,삼성,,257,,,,,,,,,0.283,0.284,,,0.835,0.364,-,,,,,,,,,,9.7,10.9,0.89,0.193,24.67,39.83,6.22,37.02,8.10,0.64,4.00
