선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
871,메인기록,2021,삼성,23,41,35,10,3,6,8,3,5,0,0.241,0.286,0.341,0.657,0.998,0.406,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2019,삼성,13,17,15,3,0,3,1,1,6,0,0.300,0.200,0.235,0.200,0.435,0.205,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2017,삼성,6,9,8,1,0,0,2,1,3,0,0.200,0.125,0.222,0.125,0.347,0.183,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2020,삼성,8,12,11,1,0,1,0,0,4,0,0.143,0.091,0.091,0.091,0.182,0.084,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2018,삼성,3,2,2,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2023,삼성,2,1,1,0,0,0,0,0,1,0,-,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2024,삼성,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
871,기본기록,2021,삼성,23,41,35,10,3,6,8,3,5,0,,0.286,,,,,,3,4,0,0,1,2,2,2,0,,,,,,,,,,,
871,기본기록,2019,삼성,13,17,15,3,0,3,1,1,6,0,,0.200,,,,,,3,0,0,0,0,1,1,0,0,,,,,,,,,,,
871,기본기록,2017,삼성,6,9,8,1,0,0,2,1,3,0,,0.125,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2020,삼성,8,12,11,1,0,1,0,0,4,0,,0.091,,,,,,1,0,0,0,0,0,1,0,0,,,,,,,,,,,
871,기본기록,2018,삼성,3,2,2,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2023,삼성,2,1,1,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2024,삼성,1,1,1,0,0,0,0,0,0,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,세부기록,2021,삼성,,41,,,,,,,,,0.241,0.286,,,0.998,0.406,-,,,,,,,,,,7.3,12.2,0.60,0.371,11.67,7.34,6.83,7.47,0.52,0.02,2.20
871,세부기록,2019,삼성,,17,,,,,,,,,0.300,0.200,,,0.435,0.205,-,,,,,,,,,,5.9,35.3,0.17,0.000,-,0.89,1.85,-0.01,5.56,0.01,-2.20
871,세부기록,2017,삼성,,9,,,,,,,,,0.200,0.125,,,0.347,0.183,-,,,,,,,,,,11.1,33.3,0.33,0.000,-,0.28,1.08,-0.19,1.81,0.01,-1.34
871,세부기록,2020,삼성,,12,,,,,,,,,0.143,0.091,,,0.182,0.084,-,,,,,,,,,,0.0,33.3,0.00,0.000,-,0.13,0.31,-1.33,6.81,0.00,-2.87
871,세부기록,2018,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.00,0.00,-0.37,-,0.00,-0.63
871,세부기록,2023,삼성,,1,,,,,,,,,-,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,100.0,0.00,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
871,세부기록,2024,삼성,,1,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,0.0,-,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
