선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1436,메인기록,2024,삼성,58,0,0,0,0,22,0,0,0,4,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2023,삼성,49,0,0,0,0,15,0,0,0,2,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2020,삼성,36,0,0,0,0,9,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2017,삼성,5,0,0,0,0,3,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2016,삼성,4,0,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2019,삼성,4,0,0,0,0,1,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2022,삼성,3,0,0,0,0,1,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1436,기본기록,2024,삼성,58,0,0,0,0,22,0,0,0,4,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,기본기록,2023,삼성,49,0,0,0,0,15,0,0,0,2,,-,,,,,,0,0,0,0,0,0,0,0,3,,,,,,,,,,,
1436,기본기록,2020,삼성,36,0,0,0,0,9,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
1436,기본기록,2017,삼성,5,0,0,0,0,3,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,기본기록,2016,삼성,4,0,0,0,0,2,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,기본기록,2019,삼성,4,0,0,0,0,1,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,기본기록,2022,삼성,3,0,0,0,0,1,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,세부기록,2024,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.67,-
1436,세부기록,2023,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-1.05,-
1436,세부기록,2020,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-0.46,-
1436,세부기록,2017,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.00,-
1436,세부기록,2016,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.00,-
1436,세부기록,2019,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.00,-
1436,세부기록,2022,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.00,-
