선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1436,메인기록,2019,삼성,1,1,1,1,0,0,1,0,0,0,1.000,1.000,1.000,1.000,2.000,0.919,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2024,삼성,17,24,19,5,2,4,7,2,6,0,0.250,0.263,0.375,0.579,0.954,0.403,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2023,삼성,17,21,19,5,0,3,1,2,6,0,0.385,0.263,0.333,0.368,0.701,0.321,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2020,삼성,15,21,15,2,0,4,0,4,5,0,0.200,0.133,0.381,0.133,0.514,0.300,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2022,삼성,1,1,0,0,0,0,0,0,0,0,-,-,1.000,-,-,0.777,-,,,,,,,,,,,,,,,,,,,,
1436,메인기록,2017,삼성,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1436,기본기록,2019,삼성,1,1,1,1,0,0,1,0,0,0,,1.000,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,기본기록,2024,삼성,17,24,19,5,2,4,7,2,6,0,,0.263,,,,,,3,0,0,0,2,1,1,1,0,,,,,,,,,,,
1436,기본기록,2023,삼성,17,21,19,5,0,3,1,2,6,0,,0.263,,,,,,3,2,0,0,0,0,0,2,1,,,,,,,,,,,
1436,기본기록,2020,삼성,15,21,15,2,0,4,0,4,5,0,,0.133,,,,,,2,0,0,0,2,0,0,0,0,,,,,,,,,,,
1436,기본기록,2022,삼성,1,1,0,0,0,0,0,0,0,0,,-,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
1436,기본기록,2017,삼성,1,0,0,0,0,0,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1436,세부기록,2019,삼성,,1,,,,,,,,,1.000,1.000,,,2.000,0.919,-,,,,,,,,,,0.0,0.0,-,0.000,-,1.00,-,0.65,1.81,0.00,0.52
1436,세부기록,2024,삼성,,24,,,,,,,,,0.250,0.263,,,0.954,0.403,-,,,,,,,,,,8.3,25.0,0.33,0.316,9.50,4.19,7.06,4.31,1.51,0.02,1.23
1436,세부기록,2023,삼성,,21,,,,,,,,,0.385,0.263,,,0.701,0.321,-,,,,,,,,,,9.5,28.6,0.33,0.105,-,1.43,2.27,2.20,-1.13,-0.45,-0.50
1436,세부기록,2020,삼성,,21,,,,,,,,,0.200,0.133,,,0.514,0.300,-,,,,,,,,,,19.0,23.8,0.80,0.000,-,1.36,2.82,1.79,6.81,0.02,-0.90
1436,세부기록,2022,삼성,,1,,,,,,,,,-,-,,,-,0.777,-,,,,,,,,,,0.0,0.0,-,-,-,0.26,-,0.52,-,0.00,0.39
1436,세부기록,2017,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.00,-
