선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1508,메인기록,2023,삼성,56,79,71,29,2,4,8,1,8,2,0.429,0.408,0.405,0.507,0.912,0.403,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2021,삼성,10,5,5,2,0,1,0,0,0,0,0.400,0.400,0.400,0.400,0.800,0.368,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2024,삼성,20,32,25,8,0,1,1,4,7,2,0.444,0.320,0.414,0.400,0.814,0.377,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2022,삼성,19,10,8,2,0,2,0,1,3,3,0.400,0.250,0.333,0.375,0.708,0.323,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2017,삼성,5,3,2,0,0,0,0,1,1,0,0.000,0.000,0.333,0.000,0.333,0.241,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2020,삼성,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1508,기본기록,2023,삼성,56,79,71,29,2,4,8,1,8,2,,0.408,,,,,,26,1,0,0,0,2,6,0,1,,,,,,,,,,,
1508,기본기록,2021,삼성,10,5,5,2,0,1,0,0,0,0,,0.400,,,,,,2,0,0,0,0,0,0,0,1,,,,,,,,,,,
1508,기본기록,2024,삼성,20,32,25,8,0,1,1,4,7,2,,0.320,,,,,,6,2,0,0,0,0,3,0,0,,,,,,,,,,,
1508,기본기록,2022,삼성,19,10,8,2,0,2,0,1,3,3,,0.250,,,,,,1,1,0,0,0,0,1,0,1,,,,,,,,,,,
1508,기본기록,2017,삼성,5,3,2,0,0,0,0,1,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2020,삼성,1,0,0,0,0,0,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,세부기록,2023,삼성,,79,,,,,,,,,0.429,0.408,,,0.912,0.403,-,,,,,,,,,,1.3,10.1,0.12,0.099,35.50,15.03,8.28,14.16,3.41,-0.05,4.01
1508,세부기록,2021,삼성,,5,,,,,,,,,0.400,0.400,,,0.800,0.368,-,,,,,,,,,,0.0,0.0,-,0.000,-,0.40,2.70,0.74,6.12,-0.46,0.09
1508,세부기록,2024,삼성,,32,,,,,,,,,0.444,0.320,,,0.814,0.377,-,,,,,,,,,,12.5,21.9,0.57,0.080,-,5.12,6.91,5.00,4.02,0.36,0.89
1508,세부기록,2022,삼성,,10,,,,,,,,,0.400,0.250,,,0.708,0.323,-,,,,,,,,,,10.0,30.0,0.33,0.125,-,1.07,3.60,1.07,9.66,0.04,-0.21
1508,세부기록,2017,삼성,,3,,,,,,,,,0.000,0.000,,,0.333,0.241,-,,,,,,,,,,33.3,33.3,1.00,0.000,-,0.09,1.17,0.10,1.81,0.00,-0.29
1508,세부기록,2020,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.00,-
