선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1508,메인기록,2023,삼성,18,39,35,10,0,6,4,2,6,3,0.345,0.286,0.342,0.400,0.742,0.342,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2022,삼성,6,5,4,1,0,2,0,1,2,2,0.500,0.250,0.400,0.250,0.650,0.329,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2024,삼성,6,17,13,2,0,3,0,3,3,0,0.200,0.154,0.353,0.154,0.507,0.282,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2017,삼성,6,4,4,0,0,0,0,0,4,0,-,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2021,삼성,5,4,4,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1508,메인기록,2020,삼성,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
1508,기본기록,2023,삼성,18,39,35,10,0,6,4,2,6,3,,0.286,,,,,,8,0,2,0,1,0,1,0,0,,,,,,,,,,,
1508,기본기록,2022,삼성,6,5,4,1,0,2,0,1,2,2,,0.250,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2024,삼성,6,17,13,2,0,3,0,3,3,0,,0.154,,,,,,2,0,0,0,1,0,0,1,0,,,,,,,,,,,
1508,기본기록,2017,삼성,6,4,4,0,0,0,0,0,4,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2021,삼성,5,4,4,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,기본기록,2020,삼성,1,0,0,0,0,0,0,0,0,0,,-,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1508,세부기록,2023,삼성,,39,,,,,,,,,0.345,0.286,,,0.742,0.342,-,,,,,,,,,,5.1,15.4,0.33,0.114,-,5.62,5.84,4.82,13.62,0.53,-0.19
1508,세부기록,2022,삼성,,5,,,,,,,,,0.500,0.250,,,0.650,0.329,-,,,,,,,,,,20.0,40.0,0.50,0.000,-,0.92,8.28,0.56,10.18,0.34,-0.08
1508,세부기록,2024,삼성,,17,,,,,,,,,0.200,0.154,,,0.507,0.282,-,,,,,,,,,,17.6,17.6,1.00,0.000,-,0.89,2.01,1.18,1.56,0.02,-1.01
1508,세부기록,2017,삼성,,4,,,,,,,,,-,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,100.0,0.00,0.000,-,0.00,0.00,-0.75,-,0.00,-1.26
1508,세부기록,2021,삼성,,4,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,25.0,0.00,0.000,-,0.00,0.00,-0.75,-,0.00,-1.26
1508,세부기록,2020,삼성,,0,,,,,,,,,-,-,,,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,0.00,-
