선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1682,메인기록,2022,삼성,6,8,6,1,0,0,2,1,3,0,0.250,0.167,0.250,0.167,0.417,0.205,-,,,,,,,,,,,,,,,,,,,,
1682,메인기록,2023,삼성,10,10,8,1,0,0,1,2,6,0,0.500,0.125,0.300,0.125,0.425,0.237,-,,,,,,,,,,,,,,,,,,,,
1682,메인기록,2019,삼성,15,19,15,0,0,1,2,3,8,0,0.000,0.000,0.211,0.000,0.211,0.155,-,,,,,,,,,,,,,,,,,,,,
1682,메인기록,2024,삼성,3,4,3,0,0,0,1,0,2,0,0.000,0.000,0.250,0.000,0.250,0.194,-,,,,,,,,,,,,,,,,,,,,
1682,기본기록,2022,삼성,6,8,6,1,0,0,2,1,3,0,,0.167,,,,,,1,0,0,0,0,1,1,0,0,,,,,,,,,,,
1682,기본기록,2023,삼성,10,10,8,1,0,0,1,2,6,0,,0.125,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
1682,기본기록,2019,삼성,15,19,15,0,0,1,2,3,8,0,,0.000,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
1682,기본기록,2024,삼성,3,4,3,0,0,0,1,0,2,0,,0.000,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
1682,세부기록,2022,삼성,,8,,,,,,,,,0.250,0.167,,,0.417,0.205,-,,,,,,,,,,12.5,37.5,0.33,0.000,-,0.45,2.00,0.00,1.81,0.01,-1.03
1682,세부기록,2023,삼성,,10,,,,,,,,,0.500,0.125,,,0.425,0.237,-,,,,,,,,,,20.0,60.0,0.33,0.000,-,0.46,1.76,0.28,1.81,0.01,-1.00
1682,세부기록,2019,삼성,,19,,,,,,,,,0.000,0.000,,,0.211,0.155,-,,,,,,,,,,15.8,42.1,0.38,0.000,-,0.22,0.39,-0.87,4.31,0.01,-3.31
1682,세부기록,2024,삼성,,4,,,,,,,,,0.000,0.000,,,0.250,0.194,-,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.07,0.59,-0.04,1.81,0.00,-0.55
