선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1682,메인기록,2019,삼성,15,34,31,11,1,2,1,3,8,0,0.455,0.355,0.412,0.484,0.896,0.402,-,,,,,,,,,,,,,,,,,,,,
1682,메인기록,2023,삼성,14,21,19,4,0,0,2,2,7,0,0.333,0.211,0.286,0.368,0.654,0.298,-,,,,,,,,,,,,,,,,,,,,
1682,메인기록,2022,삼성,7,14,11,2,0,0,2,1,5,0,0.286,0.182,0.286,0.182,0.468,0.239,-,,,,,,,,,,,,,,,,,,,,
1682,메인기록,2024,삼성,8,12,10,1,1,1,2,0,5,0,0.000,0.100,0.250,0.400,0.650,0.293,-,,,,,,,,,,,,,,,,,,,,
1682,기본기록,2019,삼성,15,34,31,11,1,2,1,3,8,0,,0.355,,,,,,9,1,0,0,0,0,0,0,0,,,,,,,,,,,
1682,기본기록,2023,삼성,14,21,19,4,0,0,2,2,7,0,,0.211,,,,,,2,1,1,0,0,0,0,0,0,,,,,,,,,,,
1682,기본기록,2022,삼성,7,14,11,2,0,0,2,1,5,0,,0.182,,,,,,2,0,0,0,1,1,1,0,0,,,,,,,,,,,
1682,기본기록,2024,삼성,8,12,10,1,1,1,2,0,5,0,,0.100,,,,,,0,0,0,0,2,0,0,1,0,,,,,,,,,,,
1682,세부기록,2019,삼성,,34,,,,,,,,,0.455,0.355,,,0.896,0.402,-,,,,,,,,,,8.8,23.5,0.38,0.129,31.00,6.50,8.77,6.07,2.20,0.03,1.70
1682,세부기록,2023,삼성,,21,,,,,,,,,0.333,0.211,,,0.654,0.298,-,,,,,,,,,,9.5,33.3,0.29,0.157,-,2.15,3.87,1.76,10.15,0.01,-0.94
1682,세부기록,2022,삼성,,14,,,,,,,,,0.286,0.182,,,0.468,0.239,-,,,,,,,,,,7.1,35.7,0.20,0.000,-,0.87,2.35,0.42,1.81,0.01,-1.38
1682,세부기록,2024,삼성,,12,,,,,,,,,0.000,0.100,,,0.650,0.293,-,,,,,,,,,,0.0,41.7,0.00,0.300,10.00,0.75,2.03,0.95,-8.19,0.01,-0.59
