선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1687,메인기록,2020,삼성,20,34,30,8,0,0,7,2,10,0,0.364,0.267,0.294,0.333,0.627,0.279,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2023,삼성,6,6,5,1,0,0,0,1,0,0,0.200,0.200,0.333,0.200,0.533,0.274,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2019,삼성,42,64,59,11,2,4,5,4,19,0,0.237,0.186,0.238,0.356,0.594,0.261,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2021,삼성,10,14,13,2,0,0,0,1,6,0,0.286,0.154,0.214,0.231,0.445,0.208,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2024,삼성,1,3,3,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
1687,기본기록,2020,삼성,20,34,30,8,0,0,7,2,10,0,,0.267,,,,,,6,2,0,0,0,2,2,0,0,,,,,,,,,,,
1687,기본기록,2023,삼성,6,6,5,1,0,0,0,1,0,0,,0.200,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,기본기록,2019,삼성,42,64,59,11,2,4,5,4,19,0,,0.186,,,,,,5,4,0,0,0,0,1,0,0,,,,,,,,,,,
1687,기본기록,2021,삼성,10,14,13,2,0,0,0,1,6,0,,0.154,,,,,,1,1,0,0,0,0,0,0,1,,,,,,,,,,,
1687,기본기록,2024,삼성,1,3,3,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,세부기록,2020,삼성,,34,,,,,,,,,0.364,0.267,,,0.627,0.279,-,,,,,,,,,,5.9,29.4,0.20,0.066,-,3.40,3.83,2.28,1.81,0.02,-2.09
1687,세부기록,2023,삼성,,6,,,,,,,,,0.200,0.200,,,0.533,0.274,-,,,,,,,,,,16.7,0.0,-,0.000,-,0.42,2.84,0.37,1.81,0.01,-0.40
1687,세부기록,2019,삼성,,64,,,,,,,,,0.237,0.186,,,0.594,0.261,-,,,,,,,,,,6.2,29.7,0.21,0.170,29.50,5.29,2.91,3.25,2.58,0.03,-4.97
1687,세부기록,2021,삼성,,14,,,,,,,,,0.286,0.154,,,0.445,0.208,-,,,,,,,,,,7.1,42.9,0.17,0.077,-,0.47,1.05,0.03,3.62,-0.46,-1.77
1687,세부기록,2024,삼성,,3,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,33.3,0.00,0.000,-,0.00,0.00,-0.56,-,0.00,-0.95
