선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1754,메인기록,2023,삼성,15,36,26,10,0,4,2,8,3,2,0.435,0.385,0.543,0.423,0.966,0.460,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2024,삼성,13,51,44,16,0,13,7,7,5,3,0.410,0.364,0.451,0.477,0.928,0.425,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2021,삼성,21,70,63,22,0,8,4,6,2,4,0.361,0.349,0.406,0.349,0.755,0.356,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2022,삼성,23,75,61,16,0,11,2,8,11,1,0.314,0.262,0.352,0.295,0.647,0.311,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2020,삼성,25,41,34,7,0,5,1,6,12,2,0.318,0.206,0.325,0.206,0.531,0.269,-,,,,,,,,,,,,,,,,,,,,
1754,기본기록,2023,삼성,15,36,26,10,0,4,2,8,3,2,,0.385,,,,,,9,1,0,0,1,0,1,1,0,,,,,,,,,,,
1754,기본기록,2024,삼성,13,51,44,16,0,13,7,7,5,3,,0.364,,,,,,13,1,2,0,0,0,0,0,1,,,,,,,,,,,
1754,기본기록,2021,삼성,21,70,63,22,0,8,4,6,2,4,,0.349,,,,,,22,0,0,0,0,0,1,0,0,,,,,,,,,,,
1754,기본기록,2022,삼성,23,75,61,16,0,11,2,8,11,1,,0.262,,,,,,15,0,1,0,1,1,5,2,1,,,,,,,,,,,
1754,기본기록,2020,삼성,25,41,34,7,0,5,1,6,12,2,,0.206,,,,,,7,0,0,0,0,0,1,0,2,,,,,,,,,,,
1754,세부기록,2023,삼성,,36,,,,,,,,,0.435,0.385,,,0.966,0.460,-,,,,,,,,,,22.2,8.3,2.67,0.038,-,7.45,11.18,8.34,2.71,0.38,3.71
1754,세부기록,2024,삼성,,51,,,,,,,,,0.410,0.364,,,0.928,0.425,-,,,,,,,,,,13.7,9.8,1.40,0.113,-,10.52,9.79,10.18,11.51,0.09,3.63
1754,세부기록,2021,삼성,,70,,,,,,,,,0.361,0.349,,,0.755,0.356,-,,,,,,,,,,8.6,2.9,3.00,0.000,-,10.46,6.73,9.57,5.15,0.75,0.58
1754,세부기록,2022,삼성,,75,,,,,,,,,0.314,0.262,,,0.647,0.311,-,,,,,,,,,,10.7,14.7,0.73,0.033,-,6.88,3.51,7.17,5.49,-0.23,-2.47
1754,세부기록,2020,삼성,,41,,,,,,,,,0.318,0.206,,,0.531,0.269,-,,,,,,,,,,14.6,29.3,0.50,0.000,-,2.72,2.44,2.38,5.43,-0.56,-2.89
