선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1754,메인기록,2023,삼성,57,24,18,6,0,18,1,2,2,0,0.375,0.333,0.429,0.333,0.762,0.369,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2022,삼성,58,25,22,7,0,14,3,2,2,0,0.350,0.318,0.375,0.318,0.693,0.328,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2021,삼성,65,34,29,6,0,7,2,3,2,0,0.222,0.207,0.281,0.241,0.522,0.251,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2024,삼성,76,39,32,6,2,20,9,3,4,0,0.154,0.188,0.278,0.438,0.716,0.314,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2020,삼성,44,21,16,0,0,6,0,2,4,0,0.000,0.000,0.111,0.000,0.111,0.080,-,,,,,,,,,,,,,,,,,,,,
1754,기본기록,2023,삼성,57,24,18,6,0,18,1,2,2,0,,0.333,,,,,,6,0,0,0,1,0,3,0,0,,,,,,,,,,,
1754,기본기록,2022,삼성,58,25,22,7,0,14,3,2,2,0,,0.318,,,,,,7,0,0,0,0,0,1,0,0,,,,,,,,,,,
1754,기본기록,2021,삼성,65,34,29,6,0,7,2,3,2,0,,0.207,,,,,,5,1,0,0,0,0,2,0,0,,,,,,,,,,,
1754,기본기록,2024,삼성,76,39,32,6,2,20,9,3,4,0,,0.188,,,,,,3,0,1,0,1,0,3,2,0,,,,,,,,,,,
1754,기본기록,2020,삼성,44,21,16,0,0,6,0,2,4,0,,0.000,,,,,,0,0,0,0,0,0,3,1,0,,,,,,,,,,,
1754,세부기록,2023,삼성,,24,,,,,,,,,0.375,0.333,,,0.762,0.369,-,,,,,,,,,,8.3,8.3,1.00,0.000,-,3.13,5.63,3.56,14.67,0.03,0.47
1754,세부기록,2022,삼성,,25,,,,,,,,,0.350,0.318,,,0.693,0.328,-,,,,,,,,,,8.0,8.0,1.00,0.000,-,2.89,4.88,2.79,9.59,0.03,-0.42
1754,세부기록,2021,삼성,,34,,,,,,,,,0.222,0.207,,,0.522,0.251,-,,,,,,,,,,8.8,5.9,1.50,0.034,-,2.33,2.52,1.41,5.70,0.02,-2.96
1754,세부기록,2024,삼성,,39,,,,,,,,,0.154,0.188,,,0.716,0.314,-,,,,,,,,,,7.7,10.3,0.75,0.250,16.00,3.41,2.97,3.86,17.58,0.02,-1.15
1754,세부기록,2020,삼성,,21,,,,,,,,,0.000,0.000,,,0.111,0.080,-,,,,,,,,,,9.5,19.0,0.50,0.000,-,0.10,0.13,-2.39,13.48,0.01,-5.09
