선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1754,메인기록,2024,삼성,41,10,8,4,0,16,8,1,1,0,0.500,0.500,0.500,0.500,1.000,0.440,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2021,삼성,32,8,6,3,0,11,7,1,1,0,0.500,0.500,0.500,0.500,1.000,0.435,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2020,삼성,19,7,7,2,0,7,3,0,2,0,0.400,0.286,0.286,0.286,0.572,0.263,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2023,삼성,28,10,8,2,0,10,5,0,2,0,0.333,0.250,0.400,0.250,0.650,0.339,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2022,삼성,37,17,16,3,0,8,10,0,1,0,0.188,0.188,0.176,0.313,0.489,0.208,-,,,,,,,,,,,,,,,,,,,,
1754,기본기록,2024,삼성,41,10,8,4,0,16,8,1,1,0,,0.500,,,,,,4,0,0,0,0,1,1,0,0,,,,,,,,,,,
1754,기본기록,2021,삼성,32,8,6,3,0,11,7,1,1,0,,0.500,,,,,,3,0,0,0,0,1,1,0,0,,,,,,,,,,,
1754,기본기록,2020,삼성,19,7,7,2,0,7,3,0,2,0,,0.286,,,,,,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
1754,기본기록,2023,삼성,28,10,8,2,0,10,5,0,2,0,,0.250,,,,,,2,0,0,0,2,0,0,0,0,,,,,,,,,,,
1754,기본기록,2022,삼성,37,17,16,3,0,8,10,0,1,0,,0.188,,,,,,2,0,1,0,0,1,1,1,0,,,,,,,,,,,
1754,세부기록,2024,삼성,,10,,,,,,,,,0.500,0.500,,,1.000,0.440,-,,,,,,,,,,10.0,10.0,1.00,0.000,-,2.39,12.91,2.13,17.81,0.01,0.85
1754,세부기록,2021,삼성,,8,,,,,,,,,0.500,0.500,,,1.000,0.435,-,,,,,,,,,,12.5,12.5,1.00,0.000,-,1.89,12.76,1.67,15.56,0.01,0.64
1754,세부기록,2020,삼성,,7,,,,,,,,,0.400,0.286,,,0.572,0.263,-,,,,,,,,,,0.0,28.6,0.00,0.000,-,0.57,3.09,0.36,19.31,0.01,-0.54
1754,세부기록,2023,삼성,,10,,,,,,,,,0.333,0.250,,,0.650,0.339,-,,,,,,,,,,0.0,20.0,0.00,0.000,-,1.01,4.54,1.22,-,0.01,-0.07
1754,세부기록,2022,삼성,,17,,,,,,,,,0.188,0.188,,,0.489,0.208,-,,,,,,,,,,0.0,5.9,0.00,0.125,-,0.65,1.17,0.04,19.15,0.01,-2.14
