선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1754,메인기록,2021,삼성,104,158,132,42,1,50,26,13,11,23,0.333,0.318,0.372,0.364,0.736,0.338,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2022,삼성,106,180,148,43,0,62,26,11,24,25,0.341,0.291,0.335,0.345,0.680,0.313,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2024,삼성,133,199,167,47,3,102,36,17,15,42,0.293,0.281,0.353,0.401,0.754,0.340,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2023,삼성,91,145,116,29,0,58,17,17,17,13,0.293,0.250,0.370,0.250,0.620,0.311,-,,,,,,,,,,,,,,,,,,,,
1754,메인기록,2020,삼성,114,130,115,26,0,46,12,8,25,21,0.283,0.226,0.272,0.252,0.524,0.246,-,,,,,,,,,,,,,,,,,,,,
1754,기본기록,2021,삼성,104,158,132,42,1,50,26,13,11,23,,0.318,,,,,,38,3,0,0,0,3,13,0,4,,,,,,,,,,,
1754,기본기록,2022,삼성,106,180,148,43,0,62,26,11,24,25,,0.291,,,,,,37,4,2,0,0,2,20,2,4,,,,,,,,,,,
1754,기본기록,2024,삼성,133,199,167,47,3,102,36,17,15,42,,0.281,,,,,,36,5,3,2,2,1,13,5,4,,,,,,,,,,,
1754,기본기록,2023,삼성,91,145,116,29,0,58,17,17,17,13,,0.250,,,,,,29,0,0,0,5,0,7,1,1,,,,,,,,,,,
1754,기본기록,2020,삼성,114,130,115,26,0,46,12,8,25,21,,0.226,,,,,,23,3,0,0,0,2,7,1,4,,,,,,,,,,,
1754,세부기록,2021,삼성,,158,,,,,,,,,0.333,0.318,,,0.736,0.338,-,,,,,,,,,,8.2,7.0,1.18,0.046,132.00,22.63,5.71,19.09,9.77,2.12,-1.21
1754,세부기록,2022,삼성,,180,,,,,,,,,0.341,0.291,,,0.680,0.313,-,,,,,,,,,,6.1,13.3,0.46,0.054,-,20.72,4.27,17.63,12.14,2.45,-5.50
1754,세부기록,2024,삼성,,199,,,,,,,,,0.293,0.281,,,0.754,0.340,-,,,,,,,,,,8.5,7.5,1.13,0.120,55.67,28.65,5.45,24.23,15.51,5.29,-1.33
1754,세부기록,2023,삼성,,145,,,,,,,,,0.293,0.250,,,0.620,0.311,-,,,,,,,,,,11.7,11.7,1.00,0.000,-,15.25,4.29,13.84,11.31,1.85,-4.79
1754,세부기록,2020,삼성,,130,,,,,,,,,0.283,0.226,,,0.524,0.246,-,,,,,,,,,,6.2,19.2,0.32,0.026,-,10.18,2.72,4.76,11.99,1.73,-11.94
