선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
478,메인기록,2024,삼성,83,179,162,52,5,27,23,13,26,0,0.359,0.321,0.375,0.457,0.832,0.373,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2019,삼성,107,322,283,82,4,39,34,25,27,8,0.305,0.290,0.357,0.385,0.742,0.338,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2018,삼성,124,373,326,93,7,48,44,36,42,16,0.308,0.285,0.367,0.408,0.775,0.353,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2021,삼성,96,249,219,62,3,26,18,23,28,3,0.311,0.283,0.356,0.361,0.717,0.332,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2014,삼성,42,61,54,14,1,12,9,4,11,1,0.310,0.259,0.344,0.426,0.770,0.351,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2017,삼성,95,239,208,52,2,25,28,18,31,4,0.282,0.250,0.322,0.337,0.659,0.305,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2020,삼성,75,204,179,40,3,14,27,18,23,4,0.237,0.223,0.300,0.291,0.591,0.277,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2022,삼성,65,172,164,29,0,14,14,4,16,3,0.192,0.177,0.193,0.201,0.394,0.181,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2023,삼성,3,4,4,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
478,메인기록,2013,삼성,1,1,1,0,0,0,0,0,1,0,-,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
478,기본기록,2024,삼성,83,179,162,52,5,27,23,13,26,0,,0.321,,,,,,41,5,1,0,1,0,3,4,0,,,,,,,,,,,
478,기본기록,2019,삼성,107,322,283,82,4,39,34,25,27,8,,0.290,,,,,,64,13,1,1,7,4,7,13,7,,,,,,,,,,,
478,기본기록,2018,삼성,124,373,326,93,7,48,44,36,42,16,,0.285,,,,,,67,19,0,0,7,2,4,5,3,,,,,,,,,,,
478,기본기록,2021,삼성,96,249,219,62,3,26,18,23,28,3,,0.283,,,,,,53,4,2,0,3,2,4,5,3,,,,,,,,,,,
478,기본기록,2014,삼성,42,61,54,14,1,12,9,4,11,1,,0.259,,,,,,9,2,2,0,3,0,0,0,0,,,,,,,,,,,
478,기본기록,2017,삼성,95,239,208,52,2,25,28,18,31,4,,0.250,,,,,,40,8,2,0,5,2,8,7,2,,,,,,,,,,,
478,기본기록,2020,삼성,75,204,179,40,3,14,27,18,23,4,,0.223,,,,,,34,3,0,0,3,3,4,5,2,,,,,,,,,,,
478,기본기록,2022,삼성,65,172,164,29,0,14,14,4,16,3,,0.177,,,,,,25,4,0,0,0,3,4,10,1,,,,,,,,,,,
478,기본기록,2023,삼성,3,4,4,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
478,기본기록,2013,삼성,1,1,1,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
478,세부기록,2024,삼성,,179,,,,,,,,,0.359,0.321,,,0.832,0.373,-,,,,,,,,,,7.3,14.5,0.50,0.136,32.40,27.43,6.33,27.29,3.22,0.16,4.29
478,세부기록,2019,삼성,,322,,,,,,,,,0.305,0.290,,,0.742,0.338,-,,,,,,,,,,7.8,8.4,0.93,0.095,70.75,36.45,4.32,38.91,3.41,-1.64,-2.46
478,세부기록,2018,삼성,,373,,,,,,,,,0.308,0.285,,,0.775,0.353,-,,,,,,,,,,9.6,11.3,0.86,0.123,46.57,53.05,5.85,49.90,5.27,1.59,1.97
478,세부기록,2021,삼성,,249,,,,,,,,,0.311,0.283,,,0.717,0.332,-,,,,,,,,,,9.2,11.2,0.82,0.078,73.00,28.72,4.59,28.65,4.19,-0.66,-3.34
478,세부기록,2014,삼성,,61,,,,,,,,,0.310,0.259,,,0.770,0.351,-,,,,,,,,,,6.6,18.0,0.36,0.167,54.00,8.72,5.89,8.05,11.50,0.21,0.21
478,세부기록,2017,삼성,,239,,,,,,,,,0.282,0.250,,,0.659,0.305,-,,,,,,,,,,7.5,13.0,0.58,0.087,104.00,22.71,3.54,21.67,4.50,-0.08,-9.04
478,세부기록,2020,삼성,,204,,,,,,,,,0.237,0.223,,,0.591,0.277,-,,,,,,,,,,8.8,11.3,0.78,0.068,59.67,16.31,2.94,13.30,2.95,-0.10,-12.91
478,세부기록,2022,삼성,,172,,,,,,,,,0.192,0.177,,,0.394,0.181,-,,,,,,,,,,2.3,9.3,0.25,0.024,-,4.82,0.87,-3.85,2.76,0.12,-25.95
478,세부기록,2023,삼성,,4,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,25.0,0.00,0.000,-,0.00,0.00,-0.75,-,0.00,-1.26
478,세부기록,2013,삼성,,1,,,,,,,,,-,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,100.0,0.00,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
