선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2024,삼성,16,73,64,28,6,15,21,5,6,1,0.407,0.438,0.472,0.906,1.378,0.563,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2016,삼성,16,76,64,23,3,18,13,11,12,1,0.400,0.359,0.447,0.609,1.056,0.458,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,11,46,43,14,1,7,2,2,8,1,0.382,0.326,0.356,0.442,0.798,0.357,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2015,삼성,13,47,42,13,0,8,6,5,12,2,0.433,0.310,0.383,0.452,0.835,0.376,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,16,67,60,16,1,13,10,5,15,3,0.341,0.267,0.333,0.383,0.716,0.328,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,15,63,53,14,1,7,6,7,9,0,0.295,0.264,0.365,0.434,0.799,0.360,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2023,삼성,13,55,46,12,1,4,5,8,11,0,0.314,0.261,0.364,0.391,0.755,0.344,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,16,69,63,16,2,11,10,5,18,1,0.326,0.254,0.319,0.413,0.732,0.321,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,13,60,48,12,2,10,8,11,14,1,0.313,0.250,0.400,0.438,0.838,0.377,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,13,59,50,10,0,4,3,7,9,2,0.238,0.200,0.305,0.240,0.545,0.267,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2024,삼성,16,73,64,28,6,15,21,5,6,1,,0.438,,,,,,10,12,0,0,1,2,3,0,1,,,,,,,,,,,
517,기본기록,2016,삼성,16,76,64,23,3,18,13,11,12,1,,0.359,,,,,,15,3,2,0,0,1,1,1,2,,,,,,,,,,,
517,기본기록,2022,삼성,11,46,43,14,1,7,2,2,8,1,,0.326,,,,,,11,2,0,0,0,0,1,1,0,,,,,,,,,,,
517,기본기록,2015,삼성,13,47,42,13,0,8,6,5,12,2,,0.310,,,,,,7,6,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2021,삼성,16,67,60,16,1,13,10,5,15,3,,0.267,,,,,,12,2,1,0,1,0,1,1,1,,,,,,,,,,,
517,기본기록,2019,삼성,15,63,53,14,1,7,6,7,9,0,,0.264,,,,,,8,4,1,0,2,1,1,1,1,,,,,,,,,,,
517,기본기록,2023,삼성,13,55,46,12,1,4,5,8,11,0,,0.261,,,,,,8,3,0,0,0,1,1,2,1,,,,,,,,,,,
517,기본기록,2017,삼성,16,69,63,16,2,11,10,5,18,1,,0.254,,,,,,10,4,0,1,1,0,0,1,1,,,,,,,,,,,
517,기본기록,2018,삼성,13,60,48,12,2,10,8,11,14,1,,0.250,,,,,,8,1,1,1,1,0,0,0,0,,,,,,,,,,,
517,기본기록,2020,삼성,13,59,50,10,0,4,3,7,9,2,,0.200,,,,,,8,2,0,0,1,1,1,0,0,,,,,,,,,,,
517,세부기록,2024,삼성,,73,,,,,,,,,0.407,0.438,,,1.378,0.563,-,,,,,,,,,,6.8,8.2,0.83,0.468,10.67,27.86,18.81,23.71,4.62,-0.25,14.33
517,세부기록,2016,삼성,,76,,,,,,,,,0.400,0.359,,,1.056,0.458,-,,,,,,,,,,14.5,15.8,0.92,0.250,21.33,17.50,10.50,17.46,8.36,-0.68,7.69
517,세부기록,2022,삼성,,46,,,,,,,,,0.382,0.326,,,0.798,0.357,-,,,,,,,,,,4.4,17.4,0.25,0.116,43.00,6.70,5.84,6.32,3.72,0.20,0.41
517,세부기록,2015,삼성,,47,,,,,,,,,0.433,0.310,,,0.835,0.376,-,,,,,,,,,,10.6,25.5,0.42,0.142,-,8.17,7.61,7.27,5.71,0.37,1.23
517,세부기록,2021,삼성,,67,,,,,,,,,0.341,0.267,,,0.716,0.328,-,,,,,,,,,,7.5,22.4,0.33,0.116,60.00,7.95,4.57,7.43,8.15,0.09,-1.18
517,세부기록,2019,삼성,,63,,,,,,,,,0.295,0.264,,,0.799,0.360,-,,,,,,,,,,11.1,14.3,0.78,0.170,53.00,8.62,5.54,8.86,5.35,-0.41,0.77
517,세부기록,2023,삼성,,55,,,,,,,,,0.314,0.261,,,0.755,0.344,-,,,,,,,,,,14.6,20.0,0.73,0.130,46.00,6.37,4.52,6.91,0.75,-0.42,-0.16
517,세부기록,2017,삼성,,69,,,,,,,,,0.326,0.254,,,0.732,0.321,-,,,,,,,,,,7.2,26.1,0.28,0.159,31.50,8.06,4.44,7.26,4.64,-0.25,-1.61
517,세부기록,2018,삼성,,60,,,,,,,,,0.313,0.250,,,0.838,0.377,-,,,,,,,,,,18.3,23.3,0.79,0.188,24.00,9.75,7.31,9.36,7.99,0.22,1.65
517,세부기록,2020,삼성,,59,,,,,,,,,0.238,0.200,,,0.545,0.267,-,,,,,,,,,,11.9,15.2,0.78,0.040,-,4.77,3.14,3.28,4.58,0.38,-4.30
