선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2020,삼성,5,24,20,7,1,5,3,3,6,2,0.429,0.350,0.417,0.550,0.967,0.403,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,2,10,9,3,0,0,0,1,1,0,0.375,0.333,0.400,0.444,0.844,0.383,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,5,30,27,7,1,4,3,3,9,0,0.353,0.259,0.333,0.407,0.740,0.320,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,9,39,35,7,3,6,5,2,12,0,0.182,0.200,0.231,0.514,0.745,0.289,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,2,12,10,2,0,1,3,2,2,1,0.250,0.200,0.333,0.200,0.533,0.274,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2023,삼성,1,6,5,1,0,0,1,1,1,0,0.250,0.200,0.333,0.200,0.533,0.274,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,4,20,18,3,1,3,3,2,3,1,0.143,0.167,0.250,0.333,0.583,0.262,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,1,6,6,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2020,삼성,5,24,20,7,1,5,3,3,6,2,,0.350,,,,,,5,1,0,1,0,1,1,0,0,,,,,,,,,,,
517,기본기록,2024,삼성,2,10,9,3,0,0,0,1,1,0,,0.333,,,,,,2,1,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2017,삼성,5,30,27,7,1,4,3,3,9,0,,0.259,,,,,,5,1,0,1,0,0,0,0,1,,,,,,,,,,,
517,기본기록,2021,삼성,9,39,35,7,3,6,5,2,12,0,,0.200,,,,,,2,2,0,1,0,2,2,1,0,,,,,,,,,,,
517,기본기록,2022,삼성,2,12,10,2,0,1,3,2,2,1,,0.200,,,,,,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2023,삼성,1,6,5,1,0,0,1,1,1,0,,0.200,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2018,삼성,4,20,18,3,1,3,3,2,3,1,,0.167,,,,,,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2019,삼성,1,6,6,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
517,세부기록,2020,삼성,,24,,,,,,,,,0.429,0.350,,,0.967,0.403,-,,,,,,,,,,12.5,25.0,0.50,0.200,20.00,5.45,10.51,4.31,6.35,0.35,1.22
517,세부기록,2024,삼성,,10,,,,,,,,,0.375,0.333,,,0.844,0.383,-,,,,,,,,,,10.0,10.0,1.00,0.111,-,1.70,7.67,1.61,1.81,0.01,0.33
517,세부기록,2017,삼성,,30,,,,,,,,,0.353,0.259,,,0.740,0.320,-,,,,,,,,,,10.0,30.0,0.33,0.148,27.00,3.46,4.44,3.11,4.55,-0.44,-0.75
517,세부기록,2021,삼성,,39,,,,,,,,,0.182,0.200,,,0.745,0.289,-,,,,,,,,,,5.1,30.8,0.17,0.314,11.67,3.96,3.45,2.94,2.81,0.01,-2.07
517,세부기록,2022,삼성,,12,,,,,,,,,0.250,0.200,,,0.533,0.274,-,,,,,,,,,,16.7,16.7,1.00,0.000,-,1.01,3.42,0.75,4.78,0.18,-0.80
517,세부기록,2023,삼성,,6,,,,,,,,,0.250,0.200,,,0.533,0.274,-,,,,,,,,,,16.7,16.7,1.00,0.000,-,0.42,2.84,0.37,1.81,0.01,-0.40
517,세부기록,2018,삼성,,20,,,,,,,,,0.143,0.167,,,0.583,0.262,-,,,,,,,,,,10.0,15.0,0.67,0.166,18.00,1.76,3.17,1.03,6.03,0.18,-1.54
517,세부기록,2019,삼성,,6,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,16.7,0.00,0.000,-,0.00,0.00,-1.12,-,0.00,-1.89
