선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2016,삼성,65,50,42,19,1,10,16,7,8,1,0.545,0.452,0.540,0.833,1.373,0.584,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2015,삼성,68,37,29,12,0,11,8,8,7,0,0.545,0.414,0.541,0.517,1.058,0.483,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,68,66,56,21,0,6,18,9,10,1,0.457,0.375,0.462,0.500,0.962,0.430,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,79,57,50,16,1,17,11,6,8,0,0.366,0.320,0.404,0.460,0.864,0.392,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2023,삼성,68,49,40,12,1,7,8,9,9,0,0.367,0.300,0.429,0.450,0.879,0.387,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,51,35,32,9,1,9,6,3,5,0,0.308,0.281,0.343,0.469,0.812,0.350,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,63,55,42,11,2,12,12,10,6,1,0.265,0.262,0.436,0.476,0.912,0.398,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,82,65,54,14,1,18,13,11,12,0,0.317,0.259,0.385,0.444,0.829,0.370,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,69,55,41,10,2,8,12,11,4,0,0.229,0.244,0.436,0.415,0.851,0.380,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,62,46,39,8,2,10,9,7,7,0,0.200,0.205,0.326,0.385,0.711,0.314,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2016,삼성,65,50,42,19,1,10,16,7,8,1,,0.452,,,,,,9,5,4,0,1,0,0,0,0,,,,,,,,,,,
517,기본기록,2015,삼성,68,37,29,12,0,11,8,8,7,0,,0.414,,,,,,9,3,0,0,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2018,삼성,68,66,56,21,0,6,18,9,10,1,,0.375,,,,,,14,7,0,1,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2021,삼성,79,57,50,16,1,17,11,6,8,0,,0.320,,,,,,12,2,1,0,1,0,0,0,0,,,,,,,,,,,
517,기본기록,2023,삼성,68,49,40,12,1,7,8,9,9,0,,0.300,,,,,,8,3,0,2,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2022,삼성,51,35,32,9,1,9,6,3,5,0,,0.281,,,,,,6,1,1,1,0,0,0,0,0,,,,,,,,,,,
517,기본기록,2020,삼성,63,55,42,11,2,12,12,10,6,1,,0.262,,,,,,7,1,1,3,3,0,0,0,1,,,,,,,,,,,
517,기본기록,2017,삼성,82,65,54,14,1,18,13,11,12,0,,0.259,,,,,,7,5,1,1,0,0,0,0,1,,,,,,,,,,,
517,기본기록,2024,삼성,69,55,41,10,2,8,12,11,4,0,,0.244,,,,,,7,1,0,3,3,0,0,0,0,,,,,,,,,,,
517,기본기록,2019,삼성,62,46,39,8,2,10,9,7,7,0,,0.205,,,,,,5,1,0,1,0,0,0,0,0,,,,,,,,,,,
517,세부기록,2016,삼성,,50,,,,,,,,,0.545,0.452,,,1.373,0.584,-,,,,,,,,,,14.0,16.0,0.88,0.381,42.00,20.30,23.84,17.21,16.79,0.21,10.79
517,세부기록,2015,삼성,,37,,,,,,,,,0.545,0.414,,,1.058,0.483,-,,,,,,,,,,21.6,18.9,1.14,0.103,-,9.23,14.66,9.33,4.56,0.05,4.57
517,세부기록,2018,삼성,,66,,,,,,,,,0.457,0.375,,,0.962,0.430,-,,,,,,,,,,13.6,15.2,0.90,0.125,-,14.12,10.89,13.47,3.74,0.23,4.99
517,세부기록,2021,삼성,,57,,,,,,,,,0.366,0.320,,,0.864,0.392,-,,,,,,,,,,10.5,14.0,0.75,0.140,50.00,10.02,7.95,9.66,8.25,0.05,2.34
517,세부기록,2023,삼성,,49,,,,,,,,,0.367,0.300,,,0.879,0.387,-,,,,,,,,,,18.4,18.4,1.00,0.150,40.00,8.49,8.19,8.07,3.48,0.04,1.78
517,세부기록,2022,삼성,,35,,,,,,,,,0.308,0.281,,,0.812,0.350,-,,,,,,,,,,8.6,14.3,0.60,0.188,32.00,5.32,6.25,4.58,9.66,0.02,0.09
517,세부기록,2020,삼성,,55,,,,,,,,,0.265,0.262,,,0.912,0.398,-,,,,,,,,,,18.2,10.9,1.67,0.214,21.00,9.67,8.16,9.64,9.65,-0.25,2.57
517,세부기록,2017,삼성,,65,,,,,,,,,0.317,0.259,,,0.829,0.370,-,,,,,,,,,,16.9,18.5,0.92,0.185,54.00,9.82,6.47,9.71,8.43,-0.41,1.35
517,세부기록,2024,삼성,,55,,,,,,,,,0.229,0.244,,,0.851,0.380,-,,,,,,,,,,20.0,7.3,2.75,0.171,20.50,8.67,7.55,8.70,4.12,0.05,1.64
517,세부기록,2019,삼성,,46,,,,,,,,,0.200,0.205,,,0.711,0.314,-,,,,,,,,,,15.2,15.2,1.00,0.180,19.50,5.40,4.70,4.53,5.15,0.03,-1.38
