선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2015,삼성,108,262,232,83,6,6,6,26,42,0,0.418,0.358,0.431,0.560,0.991,0.439,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,123,283,254,84,18,18,18,23,46,0,0.347,0.331,0.399,0.618,1.017,0.438,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2016,삼성,106,242,220,72,9,9,9,20,35,0,0.358,0.327,0.388,0.536,0.924,0.407,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2023,삼성,115,257,228,74,7,7,7,27,43,0,0.376,0.325,0.401,0.513,0.914,0.405,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,133,310,287,93,15,15,15,21,56,0,0.361,0.324,0.374,0.582,0.956,0.414,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,114,277,253,79,13,13,13,23,71,0,0.391,0.312,0.372,0.522,0.894,0.392,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,97,237,223,63,4,4,4,13,48,0,0.345,0.283,0.325,0.408,0.733,0.329,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,139,320,291,82,11,11,11,27,82,0,0.359,0.282,0.347,0.509,0.856,0.375,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,112,260,235,61,4,4,4,23,57,0,0.328,0.260,0.331,0.387,0.718,0.326,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,119,269,253,64,6,6,6,13,60,0,0.310,0.253,0.297,0.415,0.712,0.316,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2015,삼성,108,262,232,83,6,6,6,26,42,0,,0.358,,,,,,53,19,5,0,4,0,0,0,0,,,,,,,,,,,
517,기본기록,2024,삼성,123,283,254,84,18,18,18,23,46,0,,0.331,,,,,,48,17,1,0,6,0,0,0,0,,,,,,,,,,,
517,기본기록,2016,삼성,106,242,220,72,9,9,9,20,35,0,,0.327,,,,,,49,9,5,0,2,0,0,0,0,,,,,,,,,,,
517,기본기록,2023,삼성,115,257,228,74,7,7,7,27,43,0,,0.325,,,,,,45,22,0,0,2,0,0,0,0,,,,,,,,,,,
517,기본기록,2021,삼성,133,310,287,93,15,15,15,21,56,0,,0.324,,,,,,54,19,5,0,2,0,0,0,0,,,,,,,,,,,
517,기본기록,2018,삼성,114,277,253,79,13,13,13,23,71,0,,0.312,,,,,,54,10,2,0,1,0,0,0,0,,,,,,,,,,,
517,기본기록,2022,삼성,97,237,223,63,4,4,4,13,48,0,,0.283,,,,,,44,14,1,0,1,0,0,0,0,,,,,,,,,,,
517,기본기록,2017,삼성,139,320,291,82,11,11,11,27,82,0,,0.282,,,,,,46,17,8,0,2,0,0,0,0,,,,,,,,,,,
517,기본기록,2020,삼성,112,260,235,61,4,4,4,23,57,0,,0.260,,,,,,40,16,1,0,2,0,0,0,0,,,,,,,,,,,
517,기본기록,2019,삼성,119,269,253,64,6,6,6,13,60,0,,0.253,,,,,,38,17,3,0,3,0,0,0,0,,,,,,,,,,,
517,세부기록,2015,삼성,,262,,,,,,,,,0.418,0.358,,,0.991,0.439,-,,,,,,,,,,9.9,16.0,0.62,0.202,38.67,59.43,10.77,55.55,4.53,0.24,21.89
517,세부기록,2024,삼성,,283,,,,,,,,,0.347,0.331,,,1.017,0.438,-,,,,,,,,,,8.1,16.2,0.50,0.287,14.11,65.70,10.43,59.74,2.34,0.22,23.38
517,세부기록,2016,삼성,,242,,,,,,,,,0.358,0.327,,,0.924,0.407,-,,,,,,,,,,8.3,14.5,0.57,0.209,24.44,48.06,8.77,44.40,4.66,0.20,13.31
517,세부기록,2023,삼성,,257,,,,,,,,,0.376,0.325,,,0.914,0.405,-,,,,,,,,,,10.5,16.7,0.63,0.188,32.57,49.91,8.75,46.55,1.81,0.21,13.53
517,세부기록,2021,삼성,,310,,,,,,,,,0.361,0.324,,,0.956,0.414,-,,,,,,,,,,6.8,18.1,0.38,0.258,19.13,64.73,9.01,58.72,4.13,0.22,18.89
517,세부기록,2018,삼성,,277,,,,,,,,,0.391,0.312,,,0.894,0.392,-,,,,,,,,,,8.3,25.6,0.32,0.210,19.46,51.40,7.98,46.93,3.00,0.22,11.34
517,세부기록,2022,삼성,,237,,,,,,,,,0.345,0.283,,,0.733,0.329,-,,,,,,,,,,5.5,20.2,0.27,0.125,55.75,30.75,5.19,26.52,2.40,0.16,-3.93
517,세부기록,2017,삼성,,320,,,,,,,,,0.359,0.282,,,0.856,0.375,-,,,,,,,,,,8.4,25.6,0.33,0.227,26.45,53.95,6.97,49.34,5.85,0.21,8.22
517,세부기록,2020,삼성,,260,,,,,,,,,0.328,0.260,,,0.718,0.326,-,,,,,,,,,,8.8,21.9,0.40,0.127,58.75,32.25,5.00,28.48,2.39,0.18,-4.93
517,세부기록,2019,삼성,,269,,,,,,,,,0.310,0.253,,,0.712,0.316,-,,,,,,,,,,4.8,22.3,0.22,0.162,42.17,32.46,4.64,27.05,3.42,0.15,-7.52
