선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2023,삼성,110,145,119,47,2,52,57,21,22,5,0.459,0.395,0.476,0.529,1.005,0.444,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,104,145,127,48,5,67,62,14,21,4,0.417,0.378,0.438,0.598,1.036,0.446,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,137,209,165,58,8,87,89,30,39,3,0.391,0.352,0.440,0.570,1.010,0.433,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2016,삼성,101,162,128,45,3,82,62,25,21,2,0.385,0.352,0.450,0.570,1.020,0.444,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,114,167,129,44,7,61,77,25,14,4,0.325,0.341,0.448,0.589,1.037,0.439,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,107,144,113,38,5,55,57,21,22,6,0.367,0.336,0.448,0.531,0.979,0.425,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2015,삼성,100,117,97,32,0,81,38,14,22,4,0.405,0.330,0.410,0.412,0.822,0.375,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,106,130,106,32,5,50,52,16,15,3,0.293,0.302,0.385,0.491,0.876,0.375,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,127,177,145,41,4,84,64,17,23,2,0.285,0.283,0.341,0.455,0.796,0.337,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,86,125,109,27,1,58,31,12,22,2,0.295,0.248,0.328,0.321,0.649,0.297,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2023,삼성,110,145,119,47,2,52,57,21,22,5,,0.395,,,,,,36,8,1,2,0,3,4,0,1,,,,,,,,,,,
517,기본기록,2018,삼성,104,145,127,48,5,67,62,14,21,4,,0.378,,,,,,30,13,0,2,1,2,2,2,0,,,,,,,,,,,
517,기본기록,2017,삼성,137,209,165,58,8,87,89,30,39,3,,0.352,,,,,,39,10,1,1,4,10,10,0,2,,,,,,,,,,,
517,기본기록,2016,삼성,101,162,128,45,3,82,62,25,21,2,,0.352,,,,,,29,7,6,1,2,5,7,3,1,,,,,,,,,,,
517,기본기록,2024,삼성,114,167,129,44,7,61,77,25,14,4,,0.341,,,,,,26,11,0,4,5,6,8,4,0,,,,,,,,,,,
517,기본기록,2020,삼성,107,144,113,38,5,55,57,21,22,6,,0.336,,,,,,27,5,1,3,5,4,5,0,2,,,,,,,,,,,
517,기본기록,2015,삼성,100,117,97,32,0,81,38,14,22,4,,0.330,,,,,,24,8,0,0,2,4,4,1,1,,,,,,,,,,,
517,기본기록,2019,삼성,106,130,106,32,5,50,52,16,15,3,,0.302,,,,,,22,5,0,2,2,6,6,0,0,,,,,,,,,,,
517,기본기록,2021,삼성,127,177,145,41,4,84,64,17,23,2,,0.283,,,,,,27,7,3,3,2,12,13,2,1,,,,,,,,,,,
517,기본기록,2022,삼성,86,125,109,27,1,58,31,12,22,2,,0.248,,,,,,22,3,1,2,2,2,2,3,0,,,,,,,,,,,
517,세부기록,2023,삼성,,145,,,,,,,,,0.459,0.395,,,1.005,0.444,-,,,,,,,,,,14.5,15.2,0.96,0.134,59.50,33.79,11.85,31.42,8.46,0.53,12.79
517,세부기록,2018,삼성,,145,,,,,,,,,0.417,0.378,,,1.036,0.446,-,,,,,,,,,,9.7,14.5,0.67,0.220,25.40,34.95,11.37,31.66,8.47,0.79,13.02
517,세부기록,2017,삼성,,209,,,,,,,,,0.391,0.352,,,1.010,0.433,-,,,,,,,,,,14.4,18.7,0.77,0.218,20.63,47.08,10.68,43.13,8.97,-0.22,16.28
517,세부기록,2016,삼성,,162,,,,,,,,,0.385,0.352,,,1.020,0.444,-,,,,,,,,,,15.4,13.0,1.19,0.218,42.67,35.44,10.18,35.06,13.55,0.03,14.24
517,세부기록,2024,삼성,,167,,,,,,,,,0.325,0.341,,,1.037,0.439,-,,,,,,,,,,15.0,8.4,1.79,0.248,18.43,37.31,10.38,35.39,7.05,0.81,13.93
517,세부기록,2020,삼성,,144,,,,,,,,,0.367,0.336,,,0.979,0.425,-,,,,,,,,,,14.6,15.3,0.96,0.195,22.60,30.87,10.16,28.78,10.24,0.22,10.28
517,세부기록,2015,삼성,,117,,,,,,,,,0.405,0.330,,,0.822,0.375,-,,,,,,,,,,12.0,18.8,0.64,0.082,-,19.00,7.22,18.03,12.11,0.32,3.00
517,세부기록,2019,삼성,,130,,,,,,,,,0.293,0.302,,,0.876,0.375,-,,,,,,,,,,12.3,11.5,1.07,0.189,21.20,23.40,7.90,20.05,9.07,0.61,3.35
517,세부기록,2021,삼성,,177,,,,,,,,,0.285,0.283,,,0.796,0.337,-,,,,,,,,,,9.6,13.0,0.74,0.172,36.25,25.11,5.65,21.15,12.88,-0.01,-1.59
517,세부기록,2022,삼성,,125,,,,,,,,,0.295,0.248,,,0.649,0.297,-,,,,,,,,,,9.6,17.6,0.54,0.073,109.00,12.22,3.79,10.34,11.16,0.43,-5.72
