선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
517,메인기록,2015,삼성,62,249,217,82,6,53,36,26,44,12,0.450,0.378,0.450,0.553,1.003,0.444,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2016,삼성,58,261,231,83,8,63,47,25,32,8,0.387,0.359,0.421,0.571,0.992,0.435,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2017,삼성,72,320,275,97,10,55,63,35,61,6,0.416,0.353,0.428,0.575,1.003,0.437,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2023,삼성,59,249,225,78,6,32,41,19,44,5,0.407,0.347,0.399,0.520,0.919,0.404,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2018,삼성,56,253,230,79,12,54,43,21,58,5,0.416,0.343,0.399,0.578,0.977,0.424,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2020,삼성,62,262,226,77,8,39,44,29,54,11,0.416,0.341,0.424,0.518,0.942,0.416,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2022,삼성,49,216,206,64,3,36,20,6,42,5,0.374,0.311,0.330,0.437,0.767,0.340,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2021,삼성,71,307,275,82,15,52,53,22,51,12,0.312,0.298,0.352,0.542,0.894,0.381,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2024,삼성,67,277,239,70,20,53,56,27,44,5,0.278,0.293,0.370,0.628,0.998,0.418,-,,,,,,,,,,,,,,,,,,,,
517,메인기록,2019,삼성,60,255,223,62,9,34,42,25,45,7,0.308,0.278,0.357,0.498,0.855,0.373,-,,,,,,,,,,,,,,,,,,,,
517,기본기록,2015,삼성,62,249,217,82,6,53,36,26,44,12,,0.378,,,,,,57,18,1,0,4,2,2,0,3,,,,,,,,,,,
517,기본기록,2016,삼성,58,261,231,83,8,63,47,25,32,8,,0.359,,,,,,57,11,7,0,2,3,3,3,3,,,,,,,,,,,
517,기본기록,2017,삼성,72,320,275,97,10,55,63,35,61,6,,0.353,,,,,,61,21,5,1,5,5,5,1,3,,,,,,,,,,,
517,기본기록,2023,삼성,59,249,225,78,6,32,41,19,44,5,,0.347,,,,,,52,19,1,1,2,2,3,2,1,,,,,,,,,,,
517,기본기록,2018,삼성,56,253,230,79,12,54,43,21,58,5,,0.343,,,,,,51,14,2,1,1,1,1,2,0,,,,,,,,,,,
517,기본기록,2020,삼성,62,262,226,77,8,39,44,29,54,11,,0.341,,,,,,54,14,1,2,5,2,2,1,5,,,,,,,,,,,
517,기본기록,2022,삼성,49,216,206,64,3,36,20,6,42,5,,0.311,,,,,,46,13,2,0,1,2,3,3,0,,,,,,,,,,,
517,기본기록,2021,삼성,71,307,275,82,15,52,53,22,51,12,,0.298,,,,,,49,14,4,3,4,6,6,5,1,,,,,,,,,,,
517,기본기록,2024,삼성,67,277,239,70,20,53,56,27,44,5,,0.293,,,,,,31,18,1,1,5,5,6,6,2,,,,,,,,,,,
517,기본기록,2019,삼성,60,255,223,62,9,34,42,25,45,7,,0.278,,,,,,35,14,4,1,4,3,3,1,1,,,,,,,,,,,
517,세부기록,2015,삼성,,249,,,,,,,,,0.450,0.378,,,1.003,0.444,-,,,,,,,,,,10.4,17.7,0.59,0.175,36.17,59.13,11.40,53.98,7.01,0.86,21.99
517,세부기록,2016,삼성,,261,,,,,,,,,0.387,0.359,,,0.992,0.435,-,,,,,,,,,,9.6,12.3,0.78,0.212,28.88,57.67,9.92,54.44,9.42,0.18,20.91
517,세부기록,2017,삼성,,320,,,,,,,,,0.416,0.353,,,1.003,0.437,-,,,,,,,,,,10.9,19.1,0.57,0.222,27.50,72.26,10.43,67.18,7.40,-0.11,26.07
517,세부기록,2023,삼성,,249,,,,,,,,,0.407,0.347,,,0.919,0.404,-,,,,,,,,,,7.6,17.7,0.43,0.173,37.50,48.72,8.60,45.01,4.98,0.57,13.02
517,세부기록,2018,삼성,,253,,,,,,,,,0.416,0.343,,,0.977,0.424,-,,,,,,,,,,8.3,22.9,0.36,0.235,19.17,55.40,9.71,50.15,6.71,1.04,17.64
517,세부기록,2020,삼성,,262,,,,,,,,,0.416,0.341,,,0.942,0.416,-,,,,,,,,,,11.1,20.6,0.54,0.177,28.25,52.93,9.10,50.12,5.84,-0.24,16.46
517,세부기록,2022,삼성,,216,,,,,,,,,0.374,0.311,,,0.767,0.340,-,,,,,,,,,,2.8,19.4,0.14,0.126,68.67,30.22,5.51,26.43,6.64,0.98,-1.32
517,세부기록,2021,삼성,,307,,,,,,,,,0.312,0.298,,,0.894,0.381,-,,,,,,,,,,7.2,16.6,0.43,0.244,18.33,54.60,7.19,48.93,7.53,1.74,9.49
517,세부기록,2024,삼성,,277,,,,,,,,,0.278,0.293,,,0.998,0.418,-,,,,,,,,,,9.8,15.9,0.61,0.335,11.95,55.58,8.20,53.39,4.87,0.08,17.80
517,세부기록,2019,삼성,,255,,,,,,,,,0.308,0.278,,,0.855,0.373,-,,,,,,,,,,9.8,17.6,0.56,0.220,24.78,43.10,7.01,38.87,7.63,0.88,6.11
