선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
738,메인기록,2021,삼성,68,273,239,83,13,43,46,26,30,0,0.347,0.347,0.407,0.569,0.976,0.420,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2023,삼성,55,227,194,66,10,38,49,25,23,3,0.337,0.340,0.414,0.546,0.960,0.417,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2020,삼성,56,191,169,57,12,31,42,18,22,0,0.331,0.337,0.408,0.609,1.017,0.437,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2018,삼성,60,236,206,68,14,27,52,18,43,0,0.353,0.330,0.398,0.583,0.981,0.419,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2024,삼성,75,257,220,72,12,34,50,26,25,2,0.321,0.327,0.409,0.550,0.959,0.416,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2022,삼성,59,208,180,54,6,24,38,23,30,0,0.329,0.300,0.382,0.478,0.860,0.375,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2019,삼성,48,189,160,45,9,27,31,19,28,0,0.288,0.281,0.374,0.513,0.887,0.386,-,,,,,,,,,,,,,,,,,,,,
738,기본기록,2021,삼성,68,273,239,83,13,43,46,26,30,0,,0.347,,,,,,56,14,0,1,2,6,6,9,0,,,,,,,,,,,
738,기본기록,2023,삼성,55,227,194,66,10,38,49,25,23,3,,0.340,,,,,,46,10,0,1,3,5,5,9,0,,,,,,,,,,,
738,기본기록,2020,삼성,56,191,169,57,12,31,42,18,22,0,,0.337,,,,,,35,10,0,1,3,1,1,9,0,,,,,,,,,,,
738,기본기록,2018,삼성,60,236,206,68,14,27,52,18,43,0,,0.330,,,,,,44,10,0,3,8,4,4,4,0,,,,,,,,,,,
738,기본기록,2024,삼성,75,257,220,72,12,34,50,26,25,2,,0.327,,,,,,47,13,0,2,7,4,4,10,0,,,,,,,,,,,
738,기본기록,2022,삼성,59,208,180,54,6,24,38,23,30,0,,0.300,,,,,,35,12,1,4,2,2,3,9,0,,,,,,,,,,,
738,기본기록,2019,삼성,48,189,160,45,9,27,31,19,28,0,,0.281,,,,,,26,10,0,1,6,2,4,4,0,,,,,,,,,,,
738,세부기록,2021,삼성,,273,,,,,,,,,0.347,0.347,,,0.976,0.420,-,,,,,,,,,,9.5,11.0,0.87,0.222,18.38,54.60,8.62,53.27,1.59,0.24,18.19
738,세부기록,2023,삼성,,227,,,,,,,,,0.337,0.340,,,0.960,0.417,-,,,,,,,,,,11.0,10.1,1.09,0.206,19.40,43.88,8.34,43.62,2.66,0.71,14.45
738,세부기록,2020,삼성,,191,,,,,,,,,0.331,0.337,,,1.017,0.437,-,,,,,,,,,,9.4,11.5,0.82,0.272,14.08,39.28,8.69,40.12,0.76,0.16,15.58
738,세부기록,2018,삼성,,236,,,,,,,,,0.353,0.330,,,0.981,0.419,-,,,,,,,,,,7.6,18.2,0.42,0.253,14.71,48.84,9.03,45.75,1.81,0.19,15.42
738,세부기록,2024,삼성,,257,,,,,,,,,0.321,0.327,,,0.959,0.416,-,,,,,,,,,,10.1,9.7,1.04,0.223,18.33,48.86,8.14,49.06,2.02,0.55,16.04
738,세부기록,2022,삼성,,208,,,,,,,,,0.329,0.300,,,0.860,0.375,-,,,,,,,,,,11.1,14.4,0.77,0.178,30.00,31.30,6.12,32.04,1.39,0.16,5.31
738,세부기록,2019,삼성,,189,,,,,,,,,0.288,0.281,,,0.887,0.386,-,,,,,,,,,,10.0,14.8,0.68,0.232,17.78,31.54,6.92,31.07,2.39,0.14,6.79
