선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
738,메인기록,2020,삼성,40,66,60,20,4,13,16,5,7,0,0.327,0.333,0.394,0.583,0.977,0.419,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2018,삼성,61,116,107,35,4,13,16,7,25,0,0.397,0.327,0.379,0.477,0.856,0.382,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2024,삼성,69,128,117,36,4,12,17,9,17,1,0.330,0.308,0.359,0.470,0.829,0.364,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2021,삼성,57,101,83,25,3,13,17,15,13,0,0.314,0.301,0.396,0.494,0.890,0.383,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2022,삼성,44,70,64,17,3,6,11,5,9,0,0.264,0.266,0.314,0.484,0.798,0.344,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2023,삼성,61,128,112,26,5,15,20,14,20,2,0.239,0.232,0.320,0.420,0.740,0.326,-,,,,,,,,,,,,,,,,,,,,
738,메인기록,2019,삼성,50,97,85,19,2,8,13,10,14,0,0.243,0.224,0.309,0.329,0.638,0.295,-,,,,,,,,,,,,,,,,,,,,
738,기본기록,2020,삼성,40,66,60,20,4,13,16,5,7,0,,0.333,,,,,,13,3,0,1,1,0,0,4,0,,,,,,,,,,,
738,기본기록,2018,삼성,61,116,107,35,4,13,16,7,25,0,,0.327,,,,,,27,4,0,0,2,0,0,1,0,,,,,,,,,,,
738,기본기록,2024,삼성,69,128,117,36,4,12,17,9,17,1,,0.308,,,,,,25,7,0,1,1,1,1,7,0,,,,,,,,,,,
738,기본기록,2021,삼성,57,101,83,25,3,13,17,15,13,0,,0.301,,,,,,15,7,0,2,0,3,3,4,0,,,,,,,,,,,
738,기본기록,2022,삼성,44,70,64,17,3,6,11,5,9,0,,0.266,,,,,,9,5,0,0,0,1,1,1,0,,,,,,,,,,,
738,기본기록,2023,삼성,61,128,112,26,5,15,20,14,20,2,,0.232,,,,,,15,6,0,1,1,1,1,5,0,,,,,,,,,,,
738,기본기록,2019,삼성,50,97,85,19,2,8,13,10,14,0,,0.224,,,,,,14,3,0,0,1,1,1,1,0,,,,,,,,,,,
738,세부기록,2020,삼성,,66,,,,,,,,,0.327,0.333,,,0.977,0.419,-,,,,,,,,,,7.6,10.6,0.71,0.250,15.00,12.10,7.43,12.82,0.92,0.05,4.34
738,세부기록,2018,삼성,,116,,,,,,,,,0.397,0.327,,,0.856,0.382,-,,,,,,,,,,6.0,21.6,0.28,0.150,26.75,19.77,7.31,18.62,2.55,0.10,3.72
738,세부기록,2024,삼성,,128,,,,,,,,,0.330,0.308,,,0.829,0.364,-,,,,,,,,,,7.0,13.3,0.53,0.162,29.25,17.79,5.40,18.45,0.70,0.26,2.00
738,세부기록,2021,삼성,,101,,,,,,,,,0.314,0.301,,,0.890,0.383,-,,,,,,,,,,14.8,12.9,1.15,0.193,27.67,16.37,6.80,16.31,0.85,0.08,3.33
738,세부기록,2022,삼성,,70,,,,,,,,,0.264,0.266,,,0.798,0.344,-,,,,,,,,,,7.1,12.9,0.56,0.218,21.33,9.85,5.43,8.82,1.83,0.04,-0.17
738,세부기록,2023,삼성,,128,,,,,,,,,0.239,0.232,,,0.740,0.326,-,,,,,,,,,,10.9,15.6,0.70,0.188,22.40,14.68,4.31,13.98,2.29,0.42,-2.47
738,세부기록,2019,삼성,,97,,,,,,,,,0.243,0.224,,,0.638,0.295,-,,,,,,,,,,10.3,14.4,0.71,0.105,42.50,9.38,3.73,7.87,2.39,0.07,-4.59
