선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
871,메인기록,2021,삼성,38,87,76,20,3,6,13,6,13,0,0.274,0.263,0.318,0.447,0.765,0.334,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2024,삼성,6,8,8,2,1,1,3,0,1,0,0.167,0.250,0.250,0.625,0.875,0.359,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2019,삼성,20,41,39,8,0,2,2,1,16,0,0.333,0.205,0.220,0.231,0.451,0.205,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2020,삼성,10,26,23,4,0,2,1,2,6,0,0.235,0.174,0.240,0.174,0.414,0.205,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2018,삼성,5,6,6,1,0,0,0,0,2,0,0.250,0.167,0.167,0.167,0.334,0.153,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2017,삼성,10,22,21,3,0,1,3,1,8,0,0.231,0.143,0.182,0.190,0.372,0.174,-,,,,,,,,,,,,,,,,,,,,
871,메인기록,2023,삼성,1,1,1,0,0,0,0,0,1,0,-,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
871,기본기록,2021,삼성,38,87,76,20,3,6,13,6,13,0,,0.263,,,,,,12,5,0,0,1,2,4,2,0,,,,,,,,,,,
871,기본기록,2024,삼성,6,8,8,2,1,1,3,0,1,0,,0.250,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2019,삼성,20,41,39,8,0,2,2,1,16,0,,0.205,,,,,,7,1,0,0,0,1,1,0,0,,,,,,,,,,,
871,기본기록,2020,삼성,10,26,23,4,0,2,1,2,6,0,,0.174,,,,,,4,0,0,0,0,0,1,0,0,,,,,,,,,,,
871,기본기록,2018,삼성,5,6,6,1,0,0,0,0,2,0,,0.167,,,,,,1,0,0,0,0,0,0,1,0,,,,,,,,,,,
871,기본기록,2017,삼성,10,22,21,3,0,1,3,1,8,0,,0.143,,,,,,2,1,0,0,0,0,0,0,0,,,,,,,,,,,
871,기본기록,2023,삼성,1,1,1,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
871,세부기록,2021,삼성,,87,,,,,,,,,0.274,0.263,,,0.765,0.334,-,,,,,,,,,,6.9,14.9,0.46,0.184,25.33,10.89,4.74,10.13,1.16,0.05,-1.05
871,세부기록,2024,삼성,,8,,,,,,,,,0.167,0.250,,,0.875,0.359,-,,,,,,,,,,0.0,12.5,0.00,0.375,8.00,1.25,5.63,1.12,1.81,0.00,0.09
871,세부기록,2019,삼성,,41,,,,,,,,,0.333,0.205,,,0.451,0.205,-,,,,,,,,,,2.4,39.0,0.06,0.026,-,2.15,1.81,0.00,2.93,0.02,-5.27
871,세부기록,2020,삼성,,26,,,,,,,,,0.235,0.174,,,0.414,0.205,-,,,,,,,,,,7.7,23.1,0.33,0.000,-,1.16,1.57,-0.01,3.48,0.02,-3.35
871,세부기록,2018,삼성,,6,,,,,,,,,0.250,0.167,,,0.334,0.153,-,,,,,,,,,,0.0,33.3,0.00,0.000,-,0.00,0.00,-0.29,-8.19,0.00,-1.06
871,세부기록,2017,삼성,,22,,,,,,,,,0.231,0.143,,,0.372,0.174,-,,,,,,,,,,4.6,36.4,0.12,0.047,-,0.77,1.16,-0.63,3.06,0.01,-3.46
871,세부기록,2023,삼성,,1,,,,,,,,,-,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,100.0,0.00,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
